freq	dB(S(1,1))
5.00000000000000000E8	-2.81028870091086613E0
5.00999999999999979E8	-2.81300612119381377E0
5.02000000000000046E8	-2.81571435874130405E0
5.02999999999999936E8	-2.81841349337469804E0
5.04000000000000004E8	-2.82110360454508768E0
5.04999999999999982E8	-2.82378477133644612E0
5.06000000000000050E8	-2.82645707243474398E0
5.07000000000000028E8	-2.82912058618980300E0
5.08000000000000007E8	-2.83177539055760930E0
5.08999999999999986E8	-2.83442156314118066E0
5.09999999999999964E8	-2.83705918117182998E0
5.11000000000000032E8	-2.83968832151935580E0
5.12000000000000011E8	-2.84230906068815958E0
5.12999999999999989E8	-2.84492147482477176E0
5.13999999999999968E8	-2.84752563972218731E0
5.15000000000000036E8	-2.85012163079694281E0
5.16000000000000014E8	-2.85270952313283432E0
5.16999999999999993E8	-2.85528939144599603E0
5.17999999999999972E8	-2.85786131010957911E0
5.18999999999999950E8	-2.86042535313413770E0
5.20000000000000018E8	-2.86298159419137033E0
5.20999999999999996E8	-2.86553010660085095E0
5.22000000000000064E8	-2.86807096334396538E0
5.22999999999999954E8	-2.87060423705462409E0
5.24000000000000021E8	-2.87313000001731211E0
5.25000000000000000E8	-2.87564832418778460E0
5.25999999999999979E8	-2.87815928118115227E0
5.27000000000000046E8	-2.88066294227852104E0
5.27999999999999936E8	-2.88315937841078096E0
5.29000000000000004E8	-2.88564866020183075E0
5.29999999999999982E8	-2.88813085793208701E0
5.31000000000000050E8	-2.89060604154167633E0
5.32000000000000028E8	-2.89307428066751848E0
5.33000000000000007E8	-2.89553564460077739E0
5.33999999999999986E8	-2.89799020232384974E0
5.34999999999999964E8	-2.90043802248582461E0
5.36000000000000032E8	-2.90287917342775081E0
5.37000000000000011E8	-2.90531372317032321E0
5.37999999999999989E8	-2.90774173940672886E0
5.38999999999999968E8	-2.91016328952740899E0
5.40000000000000036E8	-2.91257844061915172E0
5.41000000000000014E8	-2.91498725943200299E0
5.41999999999999993E8	-2.91738981243746531E0
5.42999999999999972E8	-2.91978616578142436E0
5.43999999999999950E8	-2.92217638532024715E0
5.45000000000000018E8	-2.92456053658477888E0
5.45999999999999996E8	-2.92693868483058184E0
5.47000000000000064E8	-2.92931089500036901E0
5.47999999999999954E8	-2.93167723174497041E0
5.49000000000000021E8	-2.93403775940972045E0
5.50000000000000000E8	-2.93639254206484601E0
5.50999999999999979E8	-2.93874164348051092E0
5.52000000000000046E8	-2.94108512713296832E0
5.52999999999999936E8	-2.94342305621826617E0
5.54000000000000004E8	-2.94575549363936817E0
5.54999999999999982E8	-2.94808250202490818E0
5.56000000000000050E8	-2.95040414371412840E0
5.57000000000000028E8	-2.95272048076806959E0
5.58000000000000007E8	-2.95503157498120617E0
5.58999999999999986E8	-2.95733748785145778E0
5.59999999999999964E8	-2.95963828061163570E0
5.61000000000000032E8	-2.96193401423387526E0
5.62000000000000011E8	-2.96422474939407010E0
5.62999999999999989E8	-2.96651054653015134E0
5.63999999999999968E8	-2.96879146578541464E0
5.65000000000000036E8	-2.97106756705358510E0
5.66000000000000014E8	-2.97333890996228645E0
