freq	dB(S(2,2))
5.00000000000000000E8	-8.26099890116994651E-1
5.00999999999999979E8	-8.24882792680184451E-1
5.02000000000000046E8	-8.23675695574074318E-1
5.02999999999999936E8	-8.22478591524821567E-1
5.04000000000000004E8	-8.21291473527935345E-1
5.04999999999999982E8	-8.20114334836916647E-1
5.06000000000000050E8	-8.18947168978102980E-1
5.07000000000000028E8	-8.17789969736354472E-1
5.08000000000000007E8	-8.16642731178593451E-1
5.08999999999999986E8	-8.15505447651133508E-1
5.09999999999999964E8	-8.14378113771240386E-1
5.11000000000000032E8	-8.13260724449032324E-1
5.12000000000000011E8	-8.12153274876766673E-1
5.12999999999999989E8	-8.11055760539398207E-1
5.13999999999999968E8	-8.09968177217065310E-1
5.15000000000000036E8	-8.08890520988029138E-1
5.16000000000000014E8	-8.07822788227161581E-1
5.16999999999999993E8	-8.06764975617435454E-1
5.17999999999999972E8	-8.05717080157129040E-1
5.18999999999999950E8	-8.04679099139943688E-1
5.20000000000000018E8	-8.03651030193351801E-1
5.20999999999999996E8	-8.02632871248973778E-1
5.22000000000000064E8	-8.01624620567413970E-1
5.22999999999999954E8	-8.00626276736896969E-1
5.24000000000000021E8	-7.99637838671427659E-1
5.25000000000000000E8	-7.98659305615450066E-1
5.25999999999999979E8	-7.97690677159174655E-1
5.27000000000000046E8	-7.96731953225062295E-1
5.27999999999999936E8	-7.95783134079464194E-1
5.29000000000000004E8	-7.94844220336394347E-1
5.29999999999999982E8	-7.93915212971572970E-1
5.31000000000000050E8	-7.92996113296110039E-1
5.32000000000000028E8	-7.92086922997146203E-1
5.33000000000000007E8	-7.91187644111698507E-1
5.33999999999999986E8	-7.90298279048057051E-1
5.34999999999999964E8	-7.89418830583526443E-1
5.36000000000000032E8	-7.88549301870585140E-1
5.37000000000000011E8	-7.87689696434172681E-1
5.37999999999999989E8	-7.86840018185367818E-1
5.38999999999999968E8	-7.86000271413213714E-1
5.40000000000000036E8	-7.85170460805613146E-1
5.41000000000000014E8	-7.84350591430813449E-1
5.41999999999999993E8	-7.83540668764894832E-1
5.42999999999999972E8	-7.82740698673516988E-1
5.43999999999999950E8	-7.81950687438193270E-1
5.45000000000000018E8	-7.81170641740794292E-1
5.45999999999999996E8	-7.80400568682818729E-1
5.47000000000000064E8	-7.79640475774362329E-1
5.47999999999999954E8	-7.78890370955734657E-1
5.49000000000000021E8	-7.78150262581311658E-1
5.50000000000000000E8	-7.77420159448190962E-1
