freq	dB(S(1,1))
5.00000000000000000E8	-9.96217948150191113E-1
5.09999999999999964E8	-9.87703509173632810E-1
5.20000000000000018E8	-9.80312409757248027E-1
5.29999999999999982E8	-9.74047581025725684E-1
5.40000000000000036E8	-9.68916829815337444E-1
5.50000000000000000E8	-9.64933137860867340E-1
5.59999999999999964E8	-9.62115025944809688E-1
5.70000000000000018E8	-9.60486991460543038E-1
5.79999999999999982E8	-9.60080029934573176E-1
5.90000000000000036E8	-9.60932253546630299E-1
6.00000000000000000E8	-9.63089622604505102E-1
6.09999999999999964E8	-9.66606809455002747E-1
6.20000000000000018E8	-9.71548218673173736E-1
6.29999999999999982E8	-9.77989192678671593E-1
6.40000000000000036E8	-9.86017438460331341E-1
6.50000000000000000E8	-9.95734719419094638E-1
6.59999999999999964E8	-1.00725886652469465E0
6.70000000000000018E8	-1.02072617619401917E0
6.79999999999999982E8	-1.03629427869020940E0
6.90000000000000036E8	-1.05414558208758269E0
7.00000000000000000E8	-1.07449142403843934E0
7.09999999999999964E8	-1.09757709874256948E0
7.20000000000000018E8	-1.12368797221691907E0
7.29999999999999982E8	-1.15315695896786918E0
7.40000000000000036E8	-1.18637371229493382E0
7.50000000000000000E8	-1.22379598542871126E0
7.59999999999999964E8	-1.26596376147415279E0
7.70000000000000018E8	-1.31351694011274422E0
7.79999999999999982E8	-1.36721762732929686E0
7.90000000000000036E8	-1.42797842967573008E0
8.00000000000000000E8	-1.49689864652916160E0
8.09999999999999964E8	-1.57531094319610188E0
8.19999999999999929E8	-1.66484206342935059E0
8.30000000000000071E8	-1.76749253745245261E0
8.40000000000000036E8	-1.88574236971938425E0
8.50000000000000000E8	-2.02269267508022033E0
8.59999999999999964E8	-2.18225769723327945E0
8.69999999999999929E8	-2.36942844988255086E0
8.80000000000000071E8	-2.59063983213943327E0
8.90000000000000036E8	-2.85429007047901484E0
9.00000000000000000E8	-3.17148952277470819E0
9.09999999999999964E8	-3.55716464815822953E0
9.19999999999999929E8	-4.03173204933833951E0
9.30000000000000071E8	-4.62373169260013128E0
9.40000000000000036E8	-5.37417832160158326E0
9.50000000000000000E8	-6.34425721613976457E0
9.59999999999999964E8	-7.63027824041685765E0
9.69999999999999929E8	-9.39679408143208406E0
9.80000000000000071E8	-1.19648465466509712E1
9.90000000000000036E8	-1.61229835064052951E1
1.00000000000000000E9	-2.47726197390154379E1
1.01000000000000001E9	-2.28551355092745201E1
1.02000000000000002E9	-1.49476769051980440E1
1.03000000000000003E9	-1.08562360030631999E1
1.04000000000000004E9	-8.22787057514975118E0
1.05000000000000004E9	-6.38531609807793910E0
1.06000000000000005E9	-5.03764583051549142E0
1.06999999999999984E9	-4.02760864594980195E0
1.08000000000000007E9	-3.25800064378406962E0
1.09000000000000008E9	-2.66391592170357061E0
1.10000000000000009E9	-2.20008501800228951E0
1.10999999999999988E9	-1.83412631153948591E0
1.11999999999999988E9	-1.54250174754193381E0
1.13000000000000012E9	-1.30789875987349258E0
1.14000000000000012E9	-1.11745648629479355E0
1.14999999999999991E9	-9.61532685035323276E-1
1.15999999999999992E9	-8.32833424328055472E-1
1.16999999999999993E9	-7.25792513971838549E-1
1.18000000000000016E9	-6.36125385108815689E-1
1.18999999999999995E9	-5.60505965019819463E-1
1.19999999999999996E9	-4.96330897471345622E-1
1.20999999999999996E9	-4.41546202370298513E-1
1.21999999999999997E9	-3.94518865565654497E-1
1.22999999999999998E9	-3.53940980052077370E-1
1.23999999999999999E9	-3.18757636354888074E-1
1.25000000000000000E9	-2.88112264919242511E-1
1.26000000000000001E9	-2.61304896615146376E-1
1.27000000000000002E9	-2.37760055170271301E-1
1.28000000000000003E9	-2.17001883278327812E-1
1.29000000000000004E9	-1.98634740228317308E-1
1.30000000000000004E9	-1.82327966919978324E-1
1.31000000000000005E9	-1.67803846748932228E-1
1.31999999999999984E9	-1.54828033459217140E-1
1.33000000000000007E9	-1.43201895566927839E-1
1.34000000000000008E9	-1.32756358986088019E-1
1.35000000000000009E9	-1.23346927733892020E-1
1.35999999999999988E9	-1.14849636442884284E-1
1.36999999999999988E9	-1.07157743894164326E-1
1.38000000000000012E9	-1.00179018984900803E-1
1.39000000000000012E9	-9.38335028557812656E-2
1.39999999999999991E9	-8.80516555001970147E-2
1.40999999999999992E9	-8.27728143544662665E-2
1.41999999999999993E9	-7.79439072222727347E-2
1.43000000000000016E9	-7.35183733836844322E-2
1.43999999999999995E9	-6.94552558536111775E-2
1.44999999999999996E9	-6.57184349550114533E-2
1.45999999999999996E9	-6.22759789510230277E-2
1.46999999999999997E9	-5.90995920734612046E-2
1.47999999999999998E9	-5.61641438472969057E-2
1.48999999999999999E9	-5.34472665208544484E-2
1.50000000000000000E9	-5.09290097261325414E-2


