freq	stab_fact(S)
1.00000000000000000E6	5.51455846090903368E4
2.00000000000000000E6	2.52165011026127184E4
3.00000000000000000E6	1.38227293382316452E4
4.00000000000000000E6	8.15480494281745294E3
5.00000000000000000E6	5.04103220128190799E3
6.00000000000000000E6	3.23850142036249844E3
7.00000000000000000E6	2.15347154565585308E3
8.00000000000000000E6	1.47746341359704436E3
9.00000000000000000E6	1.04274582342226418E3
1.00000000000000000E7	7.54928799080763735E2
1.10000000000000009E7	5.59221371226781550E2
1.19999999999999996E7	4.22872573311263533E2
1.30000000000000004E7	3.25755998278063919E2
1.39999999999999991E7	2.55178666830334855E2
1.50000000000000000E7	2.02940617115135113E2
1.60000000000000009E7	1.63625336847574232E2
1.69999999999999996E7	1.33580758056312909E2
1.80000000000000004E7	1.10297433316922411E2
1.89999999999999991E7	9.20206426912946363E1
2.00000000000000000E7	7.75034104077969666E1
2.10000000000000009E7	6.58462099328261719E1
2.20000000000000018E7	5.63910642359743974E1
2.29999999999999982E7	4.86504138733635205E1
2.39999999999999991E7	4.22585942305511164E1
2.50000000000000000E7	3.69382542451019935E1
2.60000000000000009E7	3.24767994919012803E1
2.70000000000000018E7	2.87096565128631998E1
2.79999999999999982E7	2.55082408385994963E1
2.89999999999999991E7	2.27712092824363843E1
3.00000000000000000E7	2.04180325649470173E1
3.10000000000000009E7	1.83842255472705451E1
3.20000000000000018E7	1.66177741218505237E1
3.29999999999999982E7	1.50764346085197620E1
3.39999999999999991E7	1.37256753205676274E1
3.50000000000000000E7	1.25370950070591736E1
3.60000000000000009E7	1.14871984362711510E1
3.70000000000000018E7	1.05564416111387094E1
3.79999999999999982E7	9.72848211561370313E0
3.89999999999999991E7	8.98958666401438755E0
4.00000000000000000E7	8.32815996513088486E0
4.09999999999999964E7	7.73436782968379255E0
4.20000000000000018E7	7.19983395651627056E0
4.29999999999999982E7	6.71739467075510621E0
4.40000000000000036E7	6.28089950897986959E0
4.50000000000000000E7	5.88504827703946631E0
4.59999999999999964E7	5.52525727754838769E0
4.70000000000000018E7	5.19754898565047530E0
4.79999999999999982E7	4.89846066630667831E0
4.90000000000000036E7	4.62496836448993243E0
5.00000000000000000E7	4.37442342843695187E0
5.09999999999999964E7	4.14449929508861903E0
5.20000000000000018E7	3.93314671334679922E0
5.29999999999999982E7	3.73855593304034084E0
5.40000000000000036E7	3.55912466658003490E0
5.50000000000000000E7	3.39343085229859609E0
5.59999999999999964E7	3.24020942636303788E0
5.70000000000000018E7	3.09833245250637868E0
5.79999999999999982E7	2.96679207403648659E0
5.90000000000000036E7	2.84468584551824710E0
6.00000000000000000E7	2.73120407729199632E0
6.09999999999999964E7	2.62561888753753392E0
6.20000000000000018E7	2.52727470725320336E0
6.29999999999999982E7	2.43558002481342628E0
6.40000000000000036E7	2.35000019110839009E0
6.50000000000000000E7	2.27005113439238704E0
6.59999999999999964E7	2.19529385751212747E0
6.70000000000000018E7	2.12532960959896000E0
6.79999999999999982E7	2.05979564062287368E0
6.90000000000000036E7	1.99836146082461141E0
7.00000000000000000E7	1.94072553840783080E0
7.09999999999999964E7	1.88661237857636022E0
7.20000000000000018E7	1.83576993501465213E0
7.29999999999999982E7	1.78796731182253366E0
7.40000000000000036E7	1.74299271974687309E0
7.50000000000000000E7	1.70065165539463159E0
7.59999999999999964E7	1.66076527647410987E0
7.70000000000000018E7	1.62316894955650448E0
7.79999999999999982E7	1.58771095002003348E0
7.90000000000000036E7	1.55425129644438043E0
