freq	stab_fact(S)
1.00000000000000000E6	1.50972825131156707E0
2.00000000000000000E6	9.55296831442016448E-1
3.00000000000000000E6	6.85740250539681462E-1
4.00000000000000000E6	5.41474375956772480E-1
5.00000000000000000E6	4.58079902609051004E-1
6.00000000000000000E6	4.08163680204142931E-1
7.00000000000000000E6	3.78387623811517138E-1
8.00000000000000000E6	3.61489784659774038E-1
9.00000000000000000E6	3.53186247606896409E-1
1.00000000000000000E7	3.50800654942137369E-1
1.10000000000000009E7	3.52587659789533792E-1
1.19999999999999996E7	3.57369660018681357E-1
1.30000000000000004E7	3.64329196158979762E-1
1.39999999999999991E7	3.72884648410978192E-1
1.50000000000000000E7	3.82613063724151825E-1
1.60000000000000009E7	3.93200812499516994E-1
1.69999999999999996E7	4.04411237510007382E-1
1.80000000000000004E7	4.16062969780896896E-1
1.89999999999999991E7	4.28015100354843447E-1
2.00000000000000000E7	4.40156851083050160E-1
2.10000000000000009E7	4.52400254191966944E-1
2.20000000000000018E7	4.64674878805271785E-1
2.29999999999999982E7	4.76923972491453441E-1
2.39999999999999991E7	4.89101595838724990E-1
2.50000000000000000E7	5.01170463789378484E-1
2.60000000000000009E7	5.13100296738439177E-1
2.70000000000000018E7	5.24866544126840928E-1
2.79999999999999982E7	5.36449383585199513E-1
2.89999999999999991E7	5.47832926376352702E-1
3.00000000000000000E7	5.59004579120905554E-1
3.10000000000000009E7	5.69954525326187511E-1
3.20000000000000018E7	5.80675299735015038E-1
3.29999999999999982E7	5.91161435456087592E-1
3.39999999999999991E7	6.01409168799817095E-1
3.50000000000000000E7	6.11416190325491460E-1
3.60000000000000009E7	6.21181433346172707E-1
3.70000000000000018E7	6.30704893065097849E-1
3.79999999999999982E7	6.39987471042031153E-1
3.89999999999999991E7	6.49030840795479325E-1
4.00000000000000000E7	6.57837331175194517E-1
4.09999999999999964E7	6.66409824867364264E-1
4.20000000000000018E7	6.74751669772954887E-1
4.29999999999999982E7	6.82866601531075368E-1
4.40000000000000036E7	6.90758675656439447E-1
4.50000000000000000E7	6.98432208069218152E-1
4.59999999999999964E7	7.05891722949476996E-1
4.70000000000000018E7	7.13141907058173175E-1
4.79999999999999982E7	7.20187569697249508E-1
4.90000000000000036E7	7.27033607709958574E-1
5.00000000000000000E7	7.33684974916670640E-1
5.09999999999999964E7	7.40146655466810621E-1
5.20000000000000018E7	7.46423640709366332E-1
5.29999999999999982E7	7.52520909149781403E-1
5.40000000000000036E7	7.58443409161172344E-1
5.50000000000000000E7	7.64196044166917243E-1
5.59999999999999964E7	7.69783659975009371E-1
5.70000000000000018E7	7.75211034064231974E-1
5.79999999999999982E7	7.80482866582137280E-1
5.90000000000000036E7	7.85603772856857230E-1
6.00000000000000000E7	7.90578277268760488E-1
6.09999999999999964E7	7.95410808293424232E-1
6.20000000000000018E7	8.00105694619808006E-1
6.29999999999999982E7	8.04667162169038797E-1
6.40000000000000036E7	8.09099331943985334E-1
6.50000000000000000E7	8.13406218573520512E-1
6.59999999999999964E7	8.17591729495654818E-1
6.70000000000000018E7	8.21659664669512857E-1
6.79999999999999982E7	8.25613716759165861E-1
6.90000000000000036E7	8.29457471726532702E-1
7.00000000000000000E7	8.33194409764348798E-1
7.09999999999999964E7	8.36827906535274124E-1
7.20000000000000018E7	8.40361234648154820E-1
7.29999999999999982E7	8.43797565357250612E-1
7.40000000000000036E7	8.47139970433011946E-1
7.50000000000000000E7	8.50391424172471133E-1
7.59999999999999964E7	8.53554805525299543E-1
7.70000000000000018E7	8.56632900316505541E-1
7.79999999999999982E7	8.59628403532185459E-1
7.90000000000000036E7	8.62543921656230417E-1
8.00000000000000000E7	8.65381975040118512E-1
