time	Tran1.TRAN.VRL
0.00000000000000000E0	0.00000000000000000E0
6.25000000000000444E-13	-8.72851818122914835E-13
1.25000000000000089E-12	-2.78625752852045894E-12
3.12500000000000222E-12	-7.81729364469538979E-11
8.75000000000000178E-12	-5.64485440613378042E-9
2.56250000000000044E-11	-4.45508581849964358E-7
4.71201196761594243E-11	-4.16383908845922512E-6
6.80884389494362807E-11	-1.64207952625667675E-5
9.04822356354452140E-11	-4.87691979957589172E-5
1.15000193449026034E-10	-1.21889927742718851E-4
1.46138769962909043E-10	-2.91913880051514241E-4
1.89537897305085901E-10	-6.41970911686253753E-4
2.30972031800962041E-10	-9.04046747761058711E-4
2.75668120027441965E-10	-5.10837577893824690E-4
3.08590450471622813E-10	7.96197185945414709E-4
3.35790410320461863E-10	3.03166212169021554E-3
3.72300683934278842E-10	8.62711647062730336E-3
4.18143080599607231E-10	2.18435969011313258E-2
4.78110978983646007E-10	5.43803702387732812E-2
5.40610978983645829E-10	1.12884096318537486E-1
6.03110978983646007E-10	2.00888824203729710E-1
6.65610978983646007E-10	3.15498848486536065E-1
7.28110978983646184E-10	4.42338514373961988E-1
7.90610978983646184E-10	5.58577877023892100E-1
8.53110978983646184E-10	6.42765402186321033E-1
9.15610978983646362E-10	6.80876581528955604E-1
9.78110978983646362E-10	6.66501225006126674E-1
1.04061097898364641E-9	6.01807921947784585E-1
1.09339474704735373E-9	5.14831689010500959E-1
1.15296486631795703E-9	3.92108412444987620E-1
1.21546486631795725E-9	2.49107495001654033E-1
1.27796486631795725E-9	1.05031623046029066E-1
1.34046486631795680E-9	-3.19460312137609659E-2
1.39692463097804365E-9	-1.39760584643626751E-1
1.44983162525289844E-9	-2.10061569571039986E-1
1.50226729926844671E-9	-2.39344308171274811E-1
1.55514690890508600E-9	-2.31054239044854093E-1
1.61285291133882502E-9	-1.84078617140723466E-1
1.67535291133882547E-9	-9.50899693465256846E-2
1.73215566305059521E-9	5.52499972867125244E-3
1.78009825865964610E-9	9.43183067132899922E-2
1.82086538311622026E-9	1.69042580493980799E-1
1.86905703754972086E-9	2.48939937373221687E-1
1.93074269358676776E-9	3.24048517734673647E-1
1.98247768314756878E-9	3.59314443788788695E-1
2.04497768314756900E-9	3.63788934165429945E-1
2.10747768314756900E-9	3.21834581269152409E-1
2.14923948381595853E-9	2.70611423728847456E-1
2.19312952143536322E-9	2.02520774573804863E-1
2.23440249295884907E-9	1.27438094743445207E-1
2.27288646282780160E-9	5.14919096770962259E-2
2.33086627142043534E-9	-5.98653054931815021E-2
2.37699702416335956E-9	-1.39707806682801161E-1
2.43949702416336045E-9	-2.27867468013155250E-1
2.48894464883967093E-9	-2.73177347779539659E-1
2.53770456985018189E-9	-2.91230811184762173E-1
2.59167207373549369E-9	-2.82783389870910451E-1
2.62944876436914754E-9	-2.59610101925704617E-1
