time	Tran2.TRAN.Vout
1.00000000000000000E-6	2.37990005042773412E-2
1.00000498884204170E-6	1.20567096670635943E-1
1.00001208539820730E-6	1.92407128250894544E-1
1.00001849028523693E-6	1.83788021530128187E-1
1.00002539267799229E-6	1.02011930242464843E-1
1.00002921832611014E-6	3.04866721167159449E-2
1.00003421079627342E-6	-7.83092771778489904E-2
1.00003872015651774E-6	-1.80673033024305707E-1
1.00004435073629128E-6	-2.94673647113871118E-1
1.00005019834148134E-6	-3.76843510233895618E-1
1.00005754337328390E-6	-4.02524749929331183E-1
1.00006408162466731E-6	-3.44088101630243681E-1
1.00006446926939763E-6	-3.38080180759674276E-1
1.00006546275404329E-6	-3.21870045185451481E-1
1.00006844320798116E-6	-2.64211087934140831E-1
1.00006868683207784E-6	-2.58880217067141505E-1
1.00006920693901580E-6	-2.47322843776579937E-1
1.00007076725983057E-6	-2.10664157229276983E-1
1.00007089279577777E-6	-2.07580251279985273E-1
1.00007109314274567E-6	-2.02636704149685487E-1
1.00007169418364827E-6	-1.87552218586118213E-1
1.00007238715354729E-6	-1.69711090228549866E-1
1.00007445069548084E-6	-1.14185968994827935E-1
1.00007582467765710E-6	-7.55249374488408520E-2
1.00007703305805129E-6	-4.07273069346502403E-2
1.00007814675948725E-6	-8.20343226236186496E-3
1.00007959959156900E-6	3.45537851982390531E-2
1.00008052849021056E-6	6.19394637745381793E-2
1.00008148452452605E-6	9.00228070419365523E-2
1.00008229744199739E-6	1.13739531302480623E-1
1.00008324579753571E-6	1.41117288638291893E-1
1.00008407860000581E-6	1.64824635917463924E-1
1.00008532584545984E-6	1.99569941211922175E-1
1.00008712798605659E-6	2.47736366876194536E-1
1.00009012372265760E-6	3.20807926531756982E-1
1.00009523308192305E-6	4.18736349827431198E-1
1.00010257084387844E-6	4.86392361151004415E-1
1.00010957408977830E-6	4.64157058027330294E-1
1.00011577833694476E-6	3.80017405674466779E-1
1.00012001691275509E-6	2.96093113740661762E-1
1.00012551761344248E-6	1.71835361896422389E-1
1.00013025172983583E-6	6.47507120326024310E-2
1.00013546993096858E-6	-3.57640675304150690E-2
1.00014064908973133E-6	-1.02549791196381879E-1
1.00014670677661277E-6	-1.24326021535895515E-1
1.00015366476857093E-6	-6.78435053276477706E-2
1.00015404376857764E-6	-6.21558440965457759E-2
1.00015475493665962E-6	-5.10675486554107216E-2
1.00015688844090644E-6	-1.30681545901382812E-2
1.00015708666782022E-6	-9.15750761135117131E-3
1.00015742020583498E-6	-2.49891126901363947E-3
1.00015842081987882E-6	1.83869267558092631E-2
1.00016019341529283E-6	5.84740492966660064E-2
1.00016043151426448E-6	6.41743515479636351E-2
1.00016062229896852E-6	6.87614438869394018E-2
1.00016119465307995E-6	8.27500161519024502E-2
1.00016184113539830E-6	9.89412727143947279E-2
1.00016378058235311E-6	1.49626182754353043E-1
1.00016500585701906E-6	1.83056585232153735E-1
1.00016614931701731E-6	2.14977865416775504E-1
1.00016725789300942E-6	2.46404738067131612E-1
1.00016870584869433E-6	2.87851964315305153E-1
1.00016980390506127E-6	3.19383868254740477E-1
1.00017069154325045E-6	3.44802607927708182E-1
1.00017172314125835E-6	3.74128103164064463E-1
1.00017247294983336E-6	3.95227675406762113E-1
1.00017375004845244E-6	4.30560354791669653E-1
1.00017546324430207E-6	4.76378561209120210E-1
1.00017829835519301E-6	5.46710405366999996E-1
1.00018476279105073E-6	6.70024038857496862E-1
1.00019213406949881E-6	7.31494369096813912E-1
1.00019925420481437E-6	7.01953264844594216E-1
1.00020554493146507E-6	6.10142268977935665E-1
1.00020980354468070E-6	5.21705848605205436E-1
1.00021545438782389E-6	3.89455441654809098E-1
1.00022022596045956E-6	2.78660739644651922E-1
1.00022565095864868E-6	1.72751746894941327E-1
1.00023354922063135E-6	8.90257927828358397E-2
1.00023978638399935E-6	9.67170318254289185E-2
1.00024619803178538E-6	1.74148186791214332E-1
1.00024658799370347E-6	1.81092702146852713E-1
1.00024724023486744E-6	1.92997551853647709E-1
1.00024919695835801E-6	2.31941141426597452E-1
1.00024932653540932E-6	2.34695149889911336E-1
1.00024942601869449E-6	2.36815068589272304E-1
1.00024972446855109E-6	2.43240080064738029E-1
1.00025025467522988E-6	2.54888160391825425E-1
1.00025174135677375E-6	2.88993202505110736E-1
1.00025263073099357E-6	3.10326901979293801E-1
1.00025372554689440E-6	3.37379743764362905E-1
1.00025480843615666E-6	3.64854802576026360E-1
1.00025597387541798E-6	3.95037142326103474E-1
1.00025761868726715E-6	4.38318071661132702E-1
1.00025981944707953E-6	4.96576234109334891E-1
1.00026118433075428E-6	5.32443229771715210E-1
1.00026210152743555E-6	5.56226882450496873E-1
1.00026279413124763E-6	5.73945923682039982E-1
1.00026332477855862E-6	5.87352931180493609E-1
1.00026384776512156E-6	6.00403241891957240E-1
1.00026441793511278E-6	6.14426313418808068E-1
1.00026507266362419E-6	6.30238623958976873E-1
1.00026592233241463E-6	6.50245087754229090E-1
1.00026709956745097E-6	6.76886850949276031E-1
1.00026887274861864E-6	7.14301396957184753E-1
1.00027175484932385E-6	7.66903822366823995E-1
1.00027720509415530E-6	8.32864028513015242E-1
1.00028353704775830E-6	8.47597413653243237E-1
1.00028947983850069E-6	7.99730931310861148E-1
1.00029520781065662E-6	7.04573536320995686E-1
1.00029918641009163E-6	6.17285380125501959E-1
1.00030430925585856E-6	4.92702050905793598E-1
1.00030880891097218E-6	3.83226385284018134E-1
1.00031440899945934E-6	2.65403063524985772E-1
1.00032214221189553E-6	1.66886223831772407E-1
1.00032850638730442E-6	1.57703865734113324E-1
1.00033475189742149E-6	2.14458233941218612E-1
1.00033512892037035E-6	2.19953833109678154E-1
1.00033569372252384E-6	2.28404202873945694E-1
1.00033579962292762E-6	2.30044381796482389E-1
1.00033611732413896E-6	2.35031368248273065E-1
1.00033707042777320E-6	2.50762991447334160E-1
1.00033715467941242E-6	2.52212678329517459E-1
1.00033725531522322E-6	2.53950358794818820E-1
1.00033755722265516E-6	2.59235424820962335E-1
1.00033820200591972E-6	2.70873103824247252E-1
1.00033973903445306E-6	3.00379370510859500E-1
1.00034054510727222E-6	3.16774317857151422E-1
1.00034193286310247E-6	3.46239061651165869E-1
1.00034293093253912E-6	3.68276129319128964E-1
1.00034533262039771E-6	4.23294936544038336E-1
1.00034823646796855E-6	4.91760748379103241E-1
1.00035071964309519E-6	5.50014843383730856E-1
1.00035230531274255E-6	5.86198540072386365E-1
1.00035319298314751E-6	6.05889902257734558E-1
1.00035380679911912E-6	6.19211160510071323E-1
1.00035440304215539E-6	6.31890272620490023E-1
1.00035496611532837E-6	6.43607300384692049E-1
1.00035556334363962E-6	6.55740683628427234E-1
1.00035624339112927E-6	6.69159888624900301E-1
