time	Tran1.TRAN.I_DC.i
0.00000000000000000E0	2.77382659065143633E-2
6.25000000000000444E-13	2.77382659065384019E-2
1.25000000000000089E-12	2.77382659065910930E-2
3.12500000000000222E-12	2.77382659086689820E-2
8.75000000000000178E-12	2.77382660627606858E-2
2.56250000000000044E-11	2.77382783976117553E-2
4.71201196761594243E-11	2.77383837587845461E-2
6.80884389494362807E-11	2.77387343679118903E-2
9.04822356354452140E-11	2.77396697818571347E-2
1.15000193449026034E-10	2.77418120634086574E-2
1.46138769962909043E-10	2.77468929841941758E-2
1.89537897305085901E-10	2.77577966621178707E-2
2.30972031800962041E-10	2.77670277994743309E-2
2.75668120027441965E-10	2.77582289055238718E-2
3.08590450471622813E-10	2.77220217747384767E-2
3.35790410320461863E-10	2.76573051467057862E-2
3.72300683934278842E-10	2.74900821787800398E-2
4.18143080599607231E-10	2.70826674574067816E-2
4.78110978983646007E-10	2.60436219676313518E-2
5.40610978983645829E-10	2.41039349891904653E-2
6.03110978983646007E-10	2.10616366747139416E-2
6.65610978983646007E-10	1.68831656393719598E-2
7.28110978983646184E-10	1.18835106796910761E-2
7.90610978983646184E-10	6.68253928130635444E-3
8.53110978983646184E-10	1.94924705336212090E-3
9.15610978983646362E-10	-1.78101423284039417E-3
9.78110978983646362E-10	-4.14055800595367085E-3
1.04061097898364641E-9	-4.98731989896143002E-3
1.09339474704735373E-9	-4.58077172347003714E-3
1.15296486631795703E-9	-3.07219991389735503E-3
1.21546486631795725E-9	-5.92504195105469655E-4
1.27796486631795725E-9	2.46889836599876755E-3
1.34046486631795680E-9	5.88111198254558065E-3
1.39692463097804365E-9	8.95932849443476442E-3
1.44983162525289844E-9	1.12978676927972455E-2
1.50226729926844671E-9	1.26741532796359291E-2
1.55514690890508600E-9	1.30635893953589033E-2
1.61285291133882502E-9	1.23532225485952862E-2
1.67535291133882547E-9	1.02768204236793137E-2
1.73215566305059521E-9	7.51342916792418958E-3
1.78009825865964610E-9	4.79068064561713225E-3
1.82086538311622026E-9	2.28682803116397482E-3
1.86905703754972086E-9	-6.77803787299076976E-4
1.93074269358676776E-9	-4.03320325753868580E-3
1.98247768314756878E-9	-6.27251006906298159E-3
2.04497768314756900E-9	-8.01928444268513907E-3
2.10747768314756900E-9	-8.42941386997028275E-3
2.14923948381595853E-9	-7.95082438954999215E-3
2.19312952143536322E-9	-6.89668619091493440E-3
2.23440249295884907E-9	-5.41987782224680892E-3
2.27288646282780160E-9	-3.69946420796787256E-3
2.33086627142043534E-9	-8.52375895633649172E-4
2.37699702416335956E-9	1.44958004703518584E-3
2.43949702416336045E-9	4.35219489792977932E-3
2.48894464883967093E-9	6.18950773552565181E-3
2.53770456985018189E-9	7.37254048471708412E-3
2.59167207373549369E-9	7.92472600575642439E-3
2.62944876436914754E-9	7.80436432668943958E-3
2.69194876436914754E-9	6.62414862438768104E-3
2.72593337225213350E-9	5.54355318556245003E-3
2.77022117542616630E-9	3.83691697500778028E-3
2.81147069565213403E-9	1.98984162767275485E-3
2.84931968902947030E-9	1.52526072263873580E-4
2.88709933463952462E-9	-1.65929033252172520E-3
2.91458745954303167E-9	-2.89199623477725076E-3
2.94229525404129433E-9	-4.04843184761178065E-3
2.96884586237618908E-9	-5.06883018430776566E-3
2.99758060065434151E-9	-6.02815718802443179E-3
3.03158263460415967E-9	-6.88929187617376648E-3
3.06005711542891135E-9	-7.36467432584510640E-3
3.11950909315404790E-9	-7.71126153178052753E-3
3.15272946345516436E-9	-7.52162150037715804E-3
3.17575885741083219E-9	-7.21016441755231607E-3
3.19649767810117869E-9	-6.80598695959394728E-3
3.21261015130245742E-9	-6.42542096531824924E-3
3.22117054642686540E-9	-6.20480826215194448E-3
3.23134220745111778E-9	-5.92960065669496394E-3
3.24568650579139728E-9	-5.51940171513009314E-3
3.27644899536961232E-9	-4.54597621864131973E-3
3.29943621708129253E-9	-3.73043088896806818E-3
3.32669131350404523E-9	-2.68484468577311386E-3
3.36564908247022609E-9	-1.15375258300793382E-3
3.39314602570867230E-9	-1.05809780740731663E-4
3.42470696464610924E-9	1.04119078507215201E-3
3.45571343775179995E-9	2.10589155489518465E-3
3.48340359084170048E-9	2.96662437844791471E-3
3.51094004954130146E-9	3.68371845968844980E-3
3.53319403782860819E-9	4.14523562590982841E-3
3.56908205657566491E-9	4.69137295331493220E-3
3.59723090296633430E-9	4.95955036397675642E-3
3.63740064693119791E-9	5.05336692126167364E-3
3.67666643701910800E-9	4.78412396785411431E-3
3.71771965707299579E-9	4.18327259139749152E-3
3.76506065482683994E-9	3.19022357477906748E-3
3.80741600211680620E-9	2.04579965625080629E-3
3.84673394886801745E-9	8.06792661768584729E-4
3.88606411766556281E-9	-4.86819326656946050E-4
3.92095380405791172E-9	-1.61378340323392289E-3
3.97037685506958038E-9	-3.15053654995591792E-3
4.01683544347575605E-9	-4.43648541695872733E-3
4.07933544347575605E-9	-5.66104868976289222E-3
4.13350335719811213E-9	-6.18871334394131090E-3
4.19600335719811124E-9	-6.14022154384291330E-3
4.25150226032249545E-9	-5.40778076007360120E-3
4.29529054934735566E-9	-4.39768202141658193E-3
4.35779054934735566E-9	-2.55379631504107163E-3
4.40723876978939799E-9	-8.99280142705386432E-4
4.46973876978939888E-9	1.16931902907625807E-3
4.53223876978939799E-9	2.90904792927653943E-3
