time	Tran1.TRAN.I_RL.i
0.00000000000000000E0	0.00000000000000000E0
6.25000000000000444E-13	-1.74570363624582980E-14
1.25000000000000089E-12	-5.57251505704091787E-14
3.12500000000000222E-12	-1.56345872893907800E-12
8.75000000000000178E-12	-1.12897088122675604E-10
2.56250000000000044E-11	-8.91017163699928716E-9
4.71201196761594243E-11	-8.32767817691845025E-8
6.80884389494362807E-11	-3.28415905251335527E-7
9.04822356354452140E-11	-9.75383959915178345E-7
1.15000193449026034E-10	-2.43779855485437702E-6
1.46138769962909043E-10	-5.83827760103028481E-6
1.89537897305085901E-10	-1.28394182337250751E-5
2.30972031800962041E-10	-1.80809349552211729E-5
2.75668120027441965E-10	-1.02167515578764934E-5
3.08590450471622813E-10	1.59239437189082933E-5
3.35790410320461863E-10	6.06332424338043108E-5
3.72300683934278842E-10	1.72542329412546080E-4
4.18143080599607231E-10	4.36871938022626605E-4
4.78110978983646007E-10	1.08760740477546558E-3
5.40610978983645829E-10	2.25768192637074971E-3
6.03110978983646007E-10	4.01777648407459420E-3
6.65610978983646007E-10	6.30997696973072308E-3
7.28110978983646184E-10	8.84677028747923977E-3
7.90610978983646184E-10	1.11715575404778411E-2
8.53110978983646184E-10	1.28553080437264233E-2
9.15610978983646362E-10	1.36175316305791094E-2
9.78110978983646362E-10	1.33300245001225326E-2
1.04061097898364641E-9	1.20361584389556908E-2
1.09339474704735373E-9	1.02966337802100183E-2
1.15296486631795703E-9	7.84216824889975150E-3
1.21546486631795725E-9	4.98214990003308067E-3
1.27796486631795725E-9	2.10063246092058131E-3
1.34046486631795680E-9	-6.38920624275219318E-4
1.39692463097804365E-9	-2.79521169287253501E-3
1.44983162525289844E-9	-4.20123139142079971E-3
1.50226729926844671E-9	-4.78688616342549622E-3
1.55514690890508600E-9	-4.62108478089708097E-3
1.61285291133882502E-9	-3.68157234281446977E-3
1.67535291133882547E-9	-1.90179938693051387E-3
1.73215566305059521E-9	1.10499994573425031E-4
1.78009825865964610E-9	1.88636613426580002E-3
1.82086538311622026E-9	3.38085160987961553E-3
1.86905703754972086E-9	4.97879874746443463E-3
1.93074269358676776E-9	6.48097035469347293E-3
1.98247768314756878E-9	7.18628887577577302E-3
2.04497768314756900E-9	7.27577868330859889E-3
2.10747768314756900E-9	6.43669162538304818E-3
2.14923948381595853E-9	5.41222847457695000E-3
2.19312952143536322E-9	4.05041549147609814E-3
2.23440249295884907E-9	2.54876189486890414E-3
2.27288646282780160E-9	1.02983819354192452E-3
2.33086627142043534E-9	-1.19730610986362995E-3
2.37699702416335956E-9	-2.79415613365602322E-3
