time	Tran2.TRAN.Vc
1.00000000000000000E-6	1.11690622104005599E1
1.00000999999999984E-6	1.11148107729341872E1
1.00002000000000013E-6	1.10480748284197405E1
1.00003000000000020E-6	1.09691262284459001E1
1.00004000000000026E-6	1.08782862364526145E1
1.00005000000000033E-6	1.07759241877934553E1
1.00006000000000039E-6	1.06624559650425033E1
1.00007000000000046E-6	1.05383422991070597E1
1.00008000000000052E-6	1.04040869010402259E1
1.00009000000000059E-6	1.02602344261195499E1
1.00010000000000066E-6	1.01073682692893607E1
1.00011000000000050E-6	9.94610819074317831E0
1.00012000000000034E-6	9.77710777196751657E0
1.00013000000000107E-6	9.60105170615948111E0
1.00014000000000092E-6	9.41865293136105208E0
1.00015000000000098E-6	9.23064961943346418E0
1.00016000000000105E-6	9.03780203773195723E0
1.00017000000000089E-6	8.84088930279772534E0
1.00018000000000118E-6	8.64070604584062885E0
1.00019000000000102E-6	8.43805900886592397E0
1.00020000000000131E-6	8.23376358815362508E0
1.00021000000000138E-6	8.02864033967111190E0
1.00022000000000144E-6	7.82351145929273084E0
1.00023000000000128E-6	7.61919725044655038E0
1.00024000000000157E-6	7.41651259284466136E0
1.00025000000000119E-6	7.21626342851492453E0
1.00026000000000170E-6	7.01924328450249657E0
1.00027000000000177E-6	6.82622985501950463E0
1.00028000000000183E-6	6.63798166837050641E0
1.00029000000000190E-6	6.45523486554929349E0
1.00030000000000197E-6	6.27870011740903333E0
1.00031000000000181E-6	6.10905970630738793E0
1.00032000000000210E-6	5.94696479615928286E0
1.00033000000000216E-6	5.79303291280112997E0
1.00034000000000223E-6	5.64784565452412313E0
1.00035000000000229E-6	5.51194665112252569E0
1.00036000000000214E-6	5.38583978827165932E0
1.00037000000000242E-6	5.26998771238062513E0
1.00038000000000227E-6	5.16481062816029102E0
1.00039000000000233E-6	5.07068539662526874E0
1.00040000000000240E-6	4.98794493412869411E0
1.00041000000000269E-6	4.91687790342718056E0
1.00042000000000275E-6	4.85772867554199195E0
1.00043000000000282E-6	4.81069752748579837E0
1.00044000000000266E-6	4.77594102673975751E0
1.00045000000000295E-6	4.75357254088731018E0
1.00046000000000301E-6	4.74366280176733124E0
1.00047000000000308E-6	4.74624045036641906E0
1.00048000000000314E-6	4.76129249277049471E0
1.00049000000000299E-6	4.78876461013914323E0
1.00050000000000305E-6	4.82856128625261416E0
1.00051000000000312E-6	4.88054574347424985E0
1.00052000000000318E-6	4.94453970863030534E0
1.00053000000000347E-6	5.02032306069768719E0
1.00054000000000354E-6	5.10763343751533672E0
1.00055000000000360E-6	5.20616589535138541E0
1.00056000000000367E-6	5.31557271993049518E0
1.00057000000000351E-6	5.43546347997880819E0
1.00058000000000380E-6	5.56540539545638069E0
1.00059000000000387E-6	5.70492406615888736E0
1.00060000000000393E-6	5.85350457662108514E0
1.00061000000000400E-6	6.01059296571493551E0
1.00062000000000406E-6	6.17559802801648505E0
1.00063000000000413E-6	6.34789340208955544E0
1.00064000000000397E-6	6.52681989858218792E0
1.00065000000000404E-6	6.71168802736883308E0
1.00066000000000410E-6	6.90178069438220021E0
1.00067000000000417E-6	7.09635605170530148E0
1.00068000000000401E-6	7.29465049477193439E0
1.00069000000000452E-6	7.49588180580996255E0
1.00070000000000459E-6	7.69925244146447341E0
1.00071000000000443E-6	7.90395295590884217E0
1.00072000000000427E-6	8.10916554043710747E0
1.00073000000000456E-6	8.31406764988633640E0
1.00074000000000485E-6	8.51783567785777507E0
1.00075000000000491E-6	8.71964863921528810E0
1.00076000000000476E-6	8.91869182028328034E0
1.00077000000000504E-6	9.11416036438885335E0
1.00078000000000511E-6	9.30526277065959739E0
1.00079000000000495E-6	9.49122429508397936E0
1.00080000000000502E-6	9.67129025169271728E0
1.00081000000000508E-6	9.84472921666790235E0
1.00082000000000493E-6	1.00108361379337873E1
1.00083000000000544E-6	1.01689353481555700E1
1.00084000000000528E-6	1.03183834713107769E1
1.00085000000000535E-6	1.04585722048469187E1
1.00086000000000541E-6	1.05889309529499664E1
1.00087000000000526E-6	1.07089292838881200E1
1.00088000000000577E-6	1.08180791862072012E1
1.00089000000000561E-6	1.09159371047346077E1
1.00090000000000590E-6	1.10021057460284721E1
1.00091000000000596E-6	1.10762356523566718E1
1.00092000000000581E-6	1.11380265509287923E1
1.00093000000000609E-6	1.11872284896687635E1
1.00094000000000594E-6	1.12236427711909914E1
1.00095000000000600E-6	1.12471226935830648E1
1.00096000000000607E-6	1.12575741009930175E1
1.00097000000000635E-6	1.12549557410728318E1
1.00098000000000642E-6	1.12392794214671143E1
1.00099000000000626E-6	1.12106099554899208E1
1.00100000000000611E-6	1.11690648880414223E1
1.00101000000000662E-6	1.11148139967095116E1
1.00102000000000668E-6	1.10480785683863592E1
1.00103000000000675E-6	1.09691304575120752E1
1.00104000000000659E-6	1.08782909363963864E1
1.00105000000000688E-6	1.07759293503379583E1
1.00106000000000672E-6	1.06624615897216435E1
1.00107000000000679E-6	1.05383483886988594E1
1.00108000000000685E-6	1.04040934560122911E1
1.00109000000000692E-6	1.02602414396579023E1
1.00110000000000721E-6	1.01073757241948092E1
1.00111000000000705E-6	9.94611605885304506E0
1.00112000000000689E-6	9.77711601604908509E0
1.00113000000000718E-6	9.60106028358802455E0
1.00114000000000725E-6	9.41866179852861940E0
1.00115000000000731E-6	9.23065873576152818E0
1.00116000000000760E-6	9.03781136838263777E0
1.00117000000000744E-6	8.84089881957537393E0
1.00118000000000773E-6	8.64071572625085160E0
1.00119000000000757E-6	8.43806883372021765E0
1.00120000000000764E-6	8.23377353840916371E0
1.00121000000000770E-6	8.02865039331826047E0
1.00122000000000799E-6	7.82352158905135653E0
1.00123000000000784E-6	7.61920742281792762E0
1.00124000000000768E-6	7.41652276874233873E0
1.00125000000000797E-6	7.21627356532407749E0
1.00126000000000803E-6	7.01925333907527094E0
1.00127000000000810E-6	6.82623978688021982E0
1.00128000000000794E-6	6.63799144234383931E0
1.00129000000000823E-6	6.45524445316409157E0
1.00130000000000852E-6	6.27870949674499723E0
1.00131000000000836E-6	6.10906886036839403E0
1.00132000000000843E-6	5.94697371025884447E0
1.00133000000000871E-6	5.79304157172003364E0
1.00134000000000856E-6	5.64785404025614568E0
1.00135000000000862E-6	5.51195474184620871E0
1.00136000000000869E-6	5.38584755881774768E0
1.00137000000000853E-6	5.26999513602613412E0
1.00138000000000904E-6	5.16481767919777024E0
1.00139000000000888E-6	5.07069205295487091E0
1.00140000000000917E-6	4.98795117914772312E0
1.00141000000000902E-6	4.91688372673822283E0
1.00142000000000908E-6	4.85773407236825516E0
1.00143000000000892E-6	4.81070249706066644E0
1.00144000000000921E-6	4.77594557019956767E0
1.00145000000000928E-6	4.75357665928426965E0
1.00146000000000934E-6	4.74366649471411073E0
1.00147000000000919E-6	4.74624371559146763E0
1.00148000000000947E-6	4.76129532657814281E0
1.00149000000000954E-6	4.78876700853421422E0
1.00150000000000960E-6	4.82856324635230472E0
1.00151000000000967E-6	4.88054726482362078E0
1.00152000000000951E-6	4.94454079412272751E0
1.00153000000000958E-6	5.02032371694745905E0
1.00154000000000987E-6	5.10763367467038520E0
1.00155000000000993E-6	5.20616572645044151E0
1.00156000000001000E-6	5.31557215997331411E0
1.00157000000001029E-6	5.43546254490832315E0
1.00158000000001035E-6	5.56540410124583929E0
1.00159000000001019E-6	5.70492242817602957E0
1.00160000000001026E-6	5.85350260939275557E0
1.00161000000001033E-6	6.01059068314840506E0
1.00162000000001017E-6	6.17559544403722604E0
