freq	imag(Zin1)
5.00000000000000000E8	-1.61590381196862864E2
5.25252525252525437E8	-1.39743706618486696E2
5.50505050505050608E8	-1.21799912973382418E2
5.75757575757575779E8	-1.06924444825364029E2
6.01010101010101039E8	-9.44859444883791788E1
6.26262626262626299E8	-8.40016458351168005E1
6.51515151515151381E8	-7.50985821807226994E1
6.76767676767676551E8	-6.74857734591666958E1
7.02020202020201811E8	-6.09340870408497182E1
7.27272727272727071E8	-5.52615071854575568E1
7.52525252525252331E8	-5.03222523042192282E1
7.77777777777777413E8	-4.59986561928085003E1
8.03030303030302761E8	-4.21950540396306017E1
8.28282828282828021E8	-3.88331365050711241E1
8.53535353535353103E8	-3.58483888893479286E1
8.78787878787878363E8	-3.31873395459050746E1
9.04040404040403267E8	-3.08054170436447849E1
9.29292929292928704E8	-2.86652690484982653E1
9.54545454545453786E8	-2.67354341763634418E1
9.79797979797979046E8	-2.49892857174669736E1
1.00505050505050408E9	-2.34041862709344750E1
1.03030303030302961E9	-2.19608071173652419E1
1.05555555555555469E9	-2.06425771040146744E1
1.08080808080808000E9	-1.94352339815207786E1
1.10606060606060530E9	-1.83264572650228419E1
1.13131313131313083E9	-1.73055663329793186E1
1.15656565656565591E9	-1.63632710116425706E1
1.18181818181818121E9	-1.54914646025436253E1
1.20707070707070674E9	-1.46830514001739099E1
1.23232323232323182E9	-1.39318023685860615E1
1.25757575757575735E9	-1.32322339107730658E1
1.28282828282828243E9	-1.25795056574111142E1
1.30808080808080773E9	-1.19693339843253632E1
1.33333333333333326E9	-1.13979185886046630E1
1.35858585858585856E9	-1.08618799474153183E1
1.38383838383838387E9	-1.03582058790185760E1
1.40909090909090939E9	-9.88420574326410772E0
1.43434343434343425E9	-9.43747107532332663E0
1.45959595959595978E9	-9.01584165432030105E0
1.48484848484848553E9	-8.61737617762898722E0
1.51010101010101083E9	-8.24032684977410135E0
1.53535353535353591E9	-7.88311730811633549E0
1.56060606060606144E9	-7.54432340065755724E0
1.58585858585858652E9	-7.22265640823017563E0
1.61111111111111183E9	-6.91694836700089688E0
1.63636363636363713E9	-6.62613920017285807E0
1.66161616161616266E9	-6.34926541183955617E0
1.68686868686868752E9	-6.08545013284056591E0
1.71212121212121327E9	-5.83389433934760238E0
1.73737373737373924E9	-5.59386909089963691E0
1.76262626262626365E9	-5.36470865649945861E0
1.78787878787878940E9	-5.14580441588362980E0
1.81313131313131448E9	-4.93659943875472784E0
1.83838383838383979E9	-4.73658365807745252E0
1.86363636363636553E9	-4.54528956487336977E0
1.88888888888889062E9	-4.36228836161225697E0
1.91414141414141570E9	-4.18718651957853627E0
1.93939393939394122E9	-4.01962269265969319E0
1.96464646464646653E9	-3.85926494610318294E0
1.98989898989899183E9	-3.70580826401578456E0
2.01515151515151691E9	-3.55897230389584385E0
2.04040404040404288E9	-3.41849937038917240E0
2.06565656565656752E9	-3.28415258383431086E0
2.09090909090909260E9	-3.15571422208747299E0
2.11616161616161857E9	-3.03298421666072482E0
2.14141414141414410E9	-2.91577878642061483E0
2.16666666666666874E9	-2.80392919401473284E0
2.19191919191919382E9	-2.69728061188644208E0
2.21717171717171979E9	-2.59569108619869349E0
2.24242424242424487E9	-2.49903058828681734E0
2.26767676767676951E9	-2.40718014438040218E0
2.29292929292929548E9	-2.32003103533686872E0
2.31818181818182101E9	-2.23748405899685432E0
2.34343434343434653E9	-2.15944884854479913E0
2.36868686868687117E9	-2.08584324094011020E0
2.39393939393939670E9	-2.01659269008188646E0
2.41919191919192178E9	-1.95162971990897227E0
2.44444444444444731E9	-1.89089341310656578E0
2.46969696969697328E9	-1.83432893151526510E0
2.49494949494949836E9	-1.78188706471398994E0
2.52020202020202344E9	-1.73352380358420932E0
2.54545454545454897E9	-1.68919993596646933E0
2.57070707070707449E9	-1.64888066179127168E0
2.59595959595959958E9	-1.61253522531333759E0
2.62121212121212466E9	-1.58013656230081034E0
2.64646464646464974E9	-1.55166096023467448E0
2.67171717171717571E9	-1.52708772976161655E0
2.69696969696970079E9	-1.50639888581403958E0
2.72222222222222587E9	-1.48957883697276650E0
2.74747474747475184E9	-1.47661408179553977E0
2.77272727272727648E9	-1.46749291097660839E0
2.79797979797980156E9	-1.46220511433490086E0
2.82323232323232753E9	-1.46074169175612090E0
2.84848484848485262E9	-1.46309456733608978E0
2.87373737373737770E9	-1.46925630609154467E0
2.89898989898990367E9	-1.47921983271987934E0
2.92424242424242831E9	-1.49297815200237660E0
2.94949494949495428E9	-1.51052407055784865E0
2.97474747474747980E9	-1.53184991976266849E0
3.00000000000000000E9	-1.55694727976409730E0


