freq	real(Zin1)
5.00000000000000000E8	-2.74719872944182608E2
5.25252525252525437E8	-2.51165228321905509E2
5.50505050505050608E8	-2.30211546175910042E2
5.75757575757575779E8	-2.11551612931794519E2
6.01010101010101039E8	-1.94903270189351407E2
6.26262626262626299E8	-1.80014913308908175E2
6.51515151515151381E8	-1.66665823951735481E2
6.76767676767676551E8	-1.54664125809207631E2
7.02020202020201811E8	-1.43843803530055636E2
7.27272727272727071E8	-1.34061510637245052E2
7.52525252525252331E8	-1.25193514407184514E2
7.77777777777777413E8	-1.17132927346671467E2
8.03030303030302761E8	-1.09787272751051335E2
8.28282828282828021E8	-1.03076381233128167E2
8.53535353535353103E8	-9.69305919912781100E1
8.78787878787878363E8	-9.12892238802484712E1
9.04040404040403267E8	-8.60992799739380033E1
9.29292929292928704E8	-8.13143514404630707E1
9.54545454545453786E8	-7.68936901456798161E1
9.79797979797979046E8	-7.28014234015879680E1
1.00505050505050408E9	-6.90058881555006831E1
1.03030303030302961E9	-6.54790654386381199E1
1.05555555555555469E9	-6.21960989771222650E1
1.08080808080808000E9	-5.91348845093784359E1
1.10606060606060530E9	-5.62757185849393160E1
1.13131313131313083E9	-5.36009974877165973E1
1.15656565656565591E9	-5.10949584826659997E1
1.18181818181818121E9	-4.87434568765405452E1
1.20707070707070674E9	-4.65337734541338399E1
1.23232323232323182E9	-4.44544477385140979E1
1.25757575757575735E9	-4.24951332588668951E1
1.28282828282828243E9	-4.06464716193288478E1
1.30808080808080773E9	-3.88999826685811678E1
1.33333333333333326E9	-3.72479684912255227E1
1.35858585858585856E9	-3.56834292929954122E1
1.38383838383838387E9	-3.41999895449955815E1
1.40909090909090939E9	-3.27918329974564671E1
1.43434343434343425E9	-3.14536453791805970E1
1.45959595959595978E9	-3.01805637717737207E1
1.48484848484848553E9	-2.89681317933844129E1
1.51010101010101083E9	-2.78122598496779672E1
1.53535353535353591E9	-2.67091898138217632E1
1.56060606060606144E9	-2.56554635855502955E1
1.58585858585858652E9	-2.46478950544168685E1
1.61111111111111183E9	-2.36835450562665795E1
1.63636363636363713E9	-2.27596989665765692E1
1.66161616161616266E9	-2.18738466210018778E1
1.68686868686868752E9	-2.10236642935470641E1
1.71212121212121327E9	-2.02069984971957073E1
1.73737373737373924E9	-1.94218514014700960E1
1.76262626262626365E9	-1.86663676869772432E1
1.78787878787878940E9	-1.79388226791010963E1
1.81313131313131448E9	-1.72376116221426301E1
1.83838383838383979E9	-1.65612399718417325E1
1.86363636363636553E9	-1.59083145986481678E1
1.88888888888889062E9	-1.52775358066918066E1
1.91414141414141570E9	-1.46676900843863445E1
1.93939393939394122E9	-1.40776435121785171E1
1.96464646464646653E9	-1.35063357613655555E1
1.98989898989899183E9	-1.29527746252524656E1
2.01515151515151691E9	-1.24160310303963861E1
2.04040404040404288E9	-1.18952344813606770E1
2.06565656565656752E9	-1.13895688974165199E1
2.09090909090909260E9	-1.08982688040433096E1
2.11616161616161857E9	-1.04206158459812648E1
2.14141414141414410E9	-9.95593559204155554E0
2.16666666666666874E9	-9.50359460493468688E0
2.19191919191919382E9	-9.06299775208891489E0
2.21717171717171979E9	-8.63358573583483491E0
2.24242424242424487E9	-8.21483282347437793E0
2.26767676767676951E9	-7.80624475965197817E0
2.29292929292929548E9	-7.40735684514299209E0
2.31818181818182101E9	-7.01773216768498198E0
2.34343434343434653E9	-6.63695997182662811E0
2.36868686868687117E9	-6.26465415597395126E0
2.39393939393939670E9	-5.90045188588984626E0
2.41919191919192178E9	-5.54401231486624635E0
2.44444444444444731E9	-5.19501540165190967E0
2.46969696969697328E9	-4.85316081798835341E0
2.49494949494949836E9	-4.51816693830106786E0
2.52020202020202344E9	-4.18976990471174826E0
2.54545454545454897E9	-3.86772276109425128E0
2.57070707070707449E9	-3.55179465039543851E0
2.59595959595959958E9	-3.24177006989052474E0
2.62121212121212466E9	-2.93744817944340397E0
2.64646464646464974E9	-2.63864215820450898E0
2.67171717171717571E9	-2.34517860550165880E0
2.69696969696970079E9	-2.05689698197126125E0
2.72222222222222587E9	-1.77364908723882686E0
2.74747474747475184E9	-1.49529857069369010E0
2.77272727272727648E9	-1.22172047211452850E0
2.79797979797980156E9	-9.52800789095262246E-1
2.82323232323232753E9	-6.88436068393066236E-1
2.84848484848485262E9	-4.28533018478983063E-1
2.87373737373737770E9	-1.73008140714792091E-1
2.89898989898990367E9	7.82126232882791506E-2
2.92424242424242831E9	3.25194230451167732E-1
2.94949494949495428E9	5.67992863358494482E-1
2.97474747474747980E9	8.06656247841807073E-1
3.00000000000000000E9	1.04122396301553755E0


