time	Tran1.TRAN.Vout
0.00000000000000000E0	0.00000000000000000E0
0.99999999999999978E-13	-2.27808006374149841E-21
1.99999999999999956E-13	-5.68535376095088285E-21
5.00000000000000355E-13	-1.92699645595858238E-20
1.40000000000000013E-12	1.11479384554429273E-19
4.10000000000000053E-12	3.39507832289515754E-18
1.22000000000000020E-11	2.38721510058249553E-17
2.21999999999999975E-11	4.02788730846861309E-17
3.22000000000000020E-11	7.08122341943915323E-17
4.22000000000000064E-11	1.22623210286127415E-16
5.21999999999999886E-11	4.20499169723807054E-16
6.21999999999999975E-11	4.34800158445180607E-16
7.22000000000000242E-11	4.35803967327961228E-16
8.21999999999999886E-11	4.17935744677394627E-16
9.21999999999999886E-11	3.87626648722306744E-16
1.02200000000000024E-10	3.50645468008618266E-16
1.12200000000000011E-10	5.62176368346213806E-16
1.22200000000000064E-10	9.91599433440445388E-16
1.32200000000000051E-10	5.90612073044704999E-16
1.42199999999999993E-10	9.51279121510496495E-16
1.52200000000000002E-10	5.09386306050854554E-16
1.62199999999999900E-10	5.99637125966629547E-16
1.72199999999999998E-10	9.09282599346915887E-16
1.82199999999999918E-10	6.67465172512617411E-16
1.92199999999999971E-10	9.37433432817938161E-16
2.02199999999999935E-10	6.40880196942662472E-16
2.12199999999999900E-10	8.68134621453350874E-16
2.22199999999999909E-10	5.84989657003746899E-16
2.32199999999999918E-10	1.07191711573822990E-15
2.42199999999999882E-10	1.00778178378981798E-15
2.52199999999999980E-10	1.18178627266752811E-15
2.62199999999999900E-10	1.04513081150207321E-15
2.72199999999999953E-10	1.15499387352750471E-15
2.82200000000000006E-10	9.67131474957040105E-16
2.92200000000000015E-10	4.91846424099315893E-16
3.02200000000000069E-10	5.31344613889931150E-16
3.12200000000000166E-10	2.67591939019262259E-16
3.22199999999999998E-10	-3.07602448989859667E-17
3.32200000000000006E-10	-9.68257497545404533E-17
3.42200000000000060E-10	4.52475353491229626E-17
3.52200000000000069E-10	-1.09054091039575773E-16
3.62200000000000077E-10	6.10584560880382199E-18
3.72200000000000220E-10	-1.39808569942094674E-16
3.82200000000000051E-10	-4.88742567715079446E-16
3.92200000000000237E-10	-4.51464029281055357E-16
4.02200000000000202E-10	-3.25638107491840945E-16
4.12200000000000255E-10	1.32230260042040282E-16
4.22200000000000220E-10	4.19484517263507506E-16
4.32200000000000273E-10	4.78661361563943721E-16
4.42200000000000237E-10	6.07837793120566428E-16
4.52200000000000291E-10	1.02659962763641510E-15
4.62200000000000255E-10	1.36414982962727249E-15
4.72200000000000308E-10	8.23480058967543371E-16
4.82200000000000273E-10	1.06458870158310437E-15
4.92200000000000149E-10	1.47184759644950258E-15
5.02200000000000202E-10	1.51335452406014470E-15
5.12200000000000166E-10	1.54830848845338309E-15
5.22200000000000308E-10	1.57256161453273458E-15
5.32200000000000006E-10	1.60527108825589981E-15
5.42200000000000060E-10	1.46001224951371222E-15
5.52200000000000024E-10	2.14135294476601290E-15
5.62199999999999989E-10	2.41270552541485328E-15
5.72200000000000042E-10	2.48018368566982117E-15
5.82199999999999918E-10	2.29350862203595840E-15
5.92199999999999882E-10	2.18169540205496926E-15
6.02199999999999847E-10	2.52584802113193785E-15
6.12199999999999811E-10	2.27036226963955334E-15
6.22199999999999864E-10	1.90433215106348164E-15
6.32199999999999562E-10	1.73757056856230285E-15
6.42199999999999882E-10	1.24407085327370170E-15
6.52199999999999580E-10	1.49668434415132090E-15
6.62199999999999633E-10	1.95744559407211449E-15
6.72199999999999687E-10	1.80967769809206280E-15
6.82199999999999562E-10	1.37572639903849270E-15
6.92199999999999527E-10	1.49099227475803753E-15
7.02199999999999491E-10	1.82530502657763694E-15
7.12199999999999633E-10	1.32596974666378919E-15
7.22199999999999420E-10	1.36402526941000612E-15
7.32199999999999385E-10	1.37685436799058736E-15
7.42199999999999438E-10	1.32685333156969265E-15
7.52199999999999314E-10	1.23444889076108200E-15
7.62199999999999278E-10	1.35990957150919733E-15
7.72199999999999331E-10	1.15501781493184152E-15
7.82199999999999385E-10	9.21528881530093180E-16
7.92199999999999172E-10	9.43120484173931750E-16
8.02199999999998958E-10	9.51883403462814393E-16
8.12199999999999100E-10	9.82213755769796748E-16
8.22199999999999065E-10	7.86329096999439869E-16
8.32199999999998852E-10	8.79273272455173327E-16
8.42199999999999172E-10	9.90182446834811536E-16
8.52199999999998958E-10	8.36504062458454811E-16
8.62199999999998923E-10	9.11351633064595035E-16
8.72199999999998710E-10	9.20078014359685525E-16
8.82199999999998852E-10	8.40736777402194591E-16
8.92199999999999172E-10	9.15425011822181567E-16
9.02199999999998781E-10	8.66348899276665563E-16
9.12199999999998745E-10	6.90872152456131428E-16
9.22199999999998710E-10	1.44297262920083824E-16
9.32199999999998852E-10	2.90508759590102983E-16
9.42199999999998816E-10	6.36910026290566300E-17
9.52199999999998781E-10	-2.55350939740382898E-16
9.62199999999998568E-10	-1.41828729353428828E-16
9.72199999999998710E-10	-2.01631442264427241E-16
9.82199999999998674E-10	-6.03007815743270825E-16
9.92199999999998639E-10	-9.12611406924846591E-16
1.00219999999999843E-9	-9.29532724696736778E-16
1.01219999999999843E-9	-1.46727265193202649E-15
1.02219999999999844E-9	-2.12049521619780812E-15
1.03219999999999845E-9	-2.79350524912507003E-15
1.04219999999999846E-9	-3.89034993716676203E-15
1.05219999999999825E-9	-4.72161798405309696E-15
1.06219999999999803E-9	-5.49816688899332906E-15
1.07219999999999827E-9	-6.48302962490973478E-15
1.08219999999999827E-9	-6.84544302417012940E-15
1.09219999999999806E-9	-7.55593086207753650E-15
1.10219999999999785E-9	-8.73431537322962193E-15
1.11219999999999786E-9	-9.51926485782077947E-15
1.12219999999999787E-9	-1.00362396005738641E-14
1.13219999999999832E-9	-1.01196528208591463E-14
1.14219999999999788E-9	-1.02861869813627171E-14
1.15219999999999767E-9	-1.04244556344751116E-14
1.16219999999999790E-9	-1.01267844068834734E-14
1.17219999999999791E-9	-1.03969146252921552E-14
1.18219999999999792E-9	-1.08658047337919106E-14
1.19219999999999748E-9	-1.12609499570417460E-14
1.20219999999999749E-9	-1.13118943511119330E-14
1.21219999999999795E-9	-1.12110786565831821E-14
1.22219999999999795E-9	-1.14824206658834127E-14
1.23219999999999730E-9	-1.23925615508276321E-14
1.24219999999999753E-9	-1.29745750975442453E-14
1.25219999999999776E-9	-1.30384635260602755E-14
1.26219999999999777E-9	-1.36360374147510388E-14
1.27219999999999756E-9	-1.37812857399830113E-14
1.28219999999999756E-9	-1.34993494111608547E-14
1.29219999999999779E-9	-1.33017814616695729E-14
1.30219999999999736E-9	-1.33665819764709504E-14
1.31219999999999715E-9	-1.33109124068135198E-14
1.32219999999999738E-9	-1.28142366295380050E-14
1.33219999999999716E-9	-1.24075023088088465E-14
1.34219999999999740E-9	-1.18874367238203016E-14
1.35219999999999718E-9	-1.15501356724403847E-14
1.36219999999999741E-9	-1.07398921557304106E-14
1.37219999999999720E-9	-9.50255284146226487E-15
1.38219999999999699E-9	-8.74731441738255100E-15
1.39219999999999677E-9	-7.86401828951303905E-15
1.40219999999999678E-9	-7.30304725950737321E-15
1.41219999999999701E-9	-6.82517331271002270E-15
1.42219999999999702E-9	-6.16601097491526229E-15
1.43219999999999681E-9	-5.12998888763920569E-15
1.44219999999999682E-9	-4.15899415452367194E-15
1.45219999999999705E-9	-3.72463557792472422E-15
1.46219999999999661E-9	-2.83511722413125700E-15
1.47219999999999662E-9	-1.38536952671873870E-15
1.48219999999999708E-9	5.81380390568098004E-16
1.49219999999999664E-9	2.27755281634443874E-15
1.50219999999999665E-9	3.69142758593724363E-15
1.51219999999999666E-9	5.29277102175990244E-15
1.52219999999999689E-9	6.60113952594127529E-15
1.53219999999999668E-9	7.90312549479432835E-15
1.54219999999999624E-9	9.41802966921689588E-15
1.55219999999999669E-9	1.08274605925413958E-14
1.56219999999999670E-9	1.21881094595401107E-14
1.57219999999999605E-9	1.30224264130980272E-14
1.58219999999999694E-9	1.45732585721488506E-14
1.59219999999999651E-9	1.61704894882529704E-14
1.60219999999999629E-9	1.76727343163525563E-14
1.61219999999999675E-9	1.92146130763743717E-14
1.62219999999999631E-9	2.11777969882549133E-14
1.63219999999999610E-9	2.26793580285553054E-14
1.64219999999999611E-9	2.41694234005183972E-14
1.65219999999999589E-9	2.54774872386719853E-14
1.66219999999999590E-9	2.68964349943386072E-14
1.67219999999999591E-9	2.77847258479031245E-14
1.68219999999999614E-9	2.84893004672618577E-14
1.69219999999999615E-9	2.97388547538069226E-14
1.70219999999999572E-9	3.11204609720528413E-14
1.71219999999999661E-9	3.17815285329576325E-14
1.72219999999999618E-9	3.25465400979489905E-14
1.73219999999999597E-9	3.34239922001360235E-14
1.74219999999999553E-9	3.41323510551069376E-14
1.75219999999999598E-9	3.46297571693307882E-14
1.76219999999999577E-9	3.50878694446430917E-14
1.77219999999999600E-9	3.51760049060903413E-14
1.78219999999999601E-9	3.50910970760623364E-14
1.79219999999999602E-9	3.45493506221395386E-14
1.80219999999999581E-9	3.42967599598259820E-14
1.81219999999999581E-9	3.40652139131285114E-14
1.82219999999999605E-9	3.37535499195185773E-14
1.83219999999999539E-9	3.31988010339697492E-14
1.84219999999999517E-9	3.27803460940472302E-14
1.85219999999999541E-9	3.23316754679175311E-14
1.86219999999999497E-9	3.16497436853580849E-14
1.87219999999999587E-9	3.05723655515173753E-14
1.88219999999999565E-9	2.99049491311282090E-14
1.89219999999999611E-9	2.87448959927070824E-14
1.90219999999999656E-9	2.70027572634662327E-14
1.91219999999999679E-9	2.56575854769742273E-14
1.92219999999999658E-9	2.39402306528264619E-14
1.93219999999999636E-9	2.22323209012398815E-14
1.94219999999999660E-9	1.97646140431086748E-14
1.95219999999999727E-9	1.77957902102743937E-14
1.96219999999999706E-9	1.55085112634103939E-14
1.97219999999999729E-9	1.28043366919068613E-14
1.98219999999999796E-9	1.01354403391013936E-14
1.99219999999999775E-9	7.69416558198352263E-15
2.00219999999999798E-9	4.83484682190701776E-15
2.01219999999999777E-9	2.14029177535309811E-15
2.02219999999999844E-9	-6.06058356590363445E-16
2.03219999999999867E-9	-3.92364638184603987E-15
2.04219999999999802E-9	-7.11448279400964001E-15
2.05219999999999869E-9	-1.03231475606138678E-14
2.06219999999999981E-9	-1.36567939635277247E-14
2.07219999999999960E-9	-1.69329403961401703E-14
2.08219999999999894E-9	-1.96286342050111218E-14
2.09219999999999917E-9	-2.22956877338164183E-14
2.10219999999999896E-9	-2.50230977893224882E-14
2.11220000000000008E-9	-2.85155023294160070E-14
2.12219999999999942E-9	-3.15465530384179349E-14
2.13220000000000010E-9	-3.48886636249424953E-14
2.14220000000000033E-9	-3.82334716998694635E-14
2.15220000000000011E-9	-4.13969986894839526E-14
2.16220000000000079E-9	-4.47458546073234409E-14
2.17220000000000102E-9	-4.77865382944473449E-14
2.18220000000000081E-9	-5.02468955126189076E-14
2.19220000000000104E-9	-5.31290833429451226E-14
2.20220000000000127E-9	-5.55937879057988216E-14
2.21220000000000150E-9	-5.77396755099240089E-14
2.22220000000000217E-9	-5.98483394263105239E-14
2.23220000000000196E-9	-6.21314798492876630E-14
2.24220000000000219E-9	-6.41192307754152058E-14
2.25220000000000198E-9	-6.53640235159033356E-14
2.26220000000000265E-9	-6.64436499194750230E-14
2.27220000000000244E-9	-6.71428752961511588E-14
2.28220000000000312E-9	-6.80387223939417929E-14
2.29220000000000290E-9	-6.89329583043937433E-14
2.30220000000000358E-9	-6.90900645688271364E-14
2.31220000000000336E-9	-6.90742186126926683E-14
2.32220000000000359E-9	-6.86270407702187768E-14
2.33220000000000294E-9	-6.80091568299258320E-14
2.34220000000000317E-9	-6.70570132366329297E-14
2.35220000000000384E-9	-6.62761477870731319E-14
2.36220000000000452E-9	-6.47854668257993094E-14
2.37220000000000431E-9	-6.33472139279196966E-14
2.38220000000000454E-9	-6.12507095354138276E-14
2.39220000000000432E-9	-5.91041770797023247E-14
2.40220000000000500E-9	-5.62444139168865398E-14
2.41220000000000390E-9	-5.38208900384474109E-14
2.42220000000000502E-9	-5.07244520860963988E-14
2.43220000000000525E-9	-4.77118310673697277E-14
2.44220000000000503E-9	-4.42953600856739449E-14
2.45220000000000482E-9	-4.00555069197399227E-14
2.46220000000000638E-9	-3.59549114511748424E-14
2.47220000000000617E-9	-3.14298128546943278E-14
2.48220000000000596E-9	-2.71831177255084011E-14
2.49220000000000619E-9	-2.20134154271811999E-14
2.50220000000000642E-9	-1.65246017490045194E-14
2.51220000000000665E-9	-1.02788680260674958E-14
2.52220000000000732E-9	-3.93962140927963134E-15
2.53220000000000667E-9	2.06623097779536380E-15
2.54220000000000779E-9	7.72335285182793463E-15
2.55220000000000802E-9	1.39058029370412894E-14
2.56220000000000780E-9	2.04418820563188541E-14
2.57220000000000715E-9	2.63325594757933867E-14
2.58220000000000782E-9	3.27924005855387390E-14
2.59220000000000805E-9	3.86611592485349442E-14
2.60220000000000873E-9	4.46645524187935816E-14
2.61220000000000852E-9	5.06692952796985274E-14
2.62220000000000830E-9	5.69307335049373009E-14
2.63220000000000853E-9	6.26873856490908654E-14
2.64220000000000965E-9	6.85700070933887318E-14
2.65220000000000899E-9	7.43050929200415577E-14
2.66220000000000967E-9	7.99913608015799227E-14
2.67220000000000946E-9	8.50563636960459668E-14
2.68220000000000969E-9	8.94482613541240568E-14
2.69220000000000947E-9	9.39459548384754584E-14
2.70220000000000971E-9	9.84461324153386741E-14
2.71220000000000994E-9	1.02500234665053558E-13
2.72220000000001061E-9	1.05844270939389729E-13
2.73220000000001129E-9	1.09031069639603673E-13
2.74220000000001018E-9	1.10924512160419031E-13
2.75220000000001086E-9	1.13228507729832550E-13
2.76220000000001020E-9	1.14206621818940390E-13
2.77220000000001132E-9	1.14225006346823399E-13
2.78220000000001111E-9	1.14211352459453042E-13
2.79220000000001134E-9	1.13810475201972494E-13
2.80220000000001157E-9	1.13281820873952621E-13
2.81220000000001180E-9	1.11277228926296701E-13
2.82220000000001248E-9	1.09409085049694155E-13
2.83220000000001182E-9	1.07226142062645691E-13
2.84220000000001205E-9	1.04182891907405595E-13
2.85220000000001228E-9	1.00434698168600867E-13
2.86220000000001296E-9	9.62296972740445966E-14
2.87220000000001274E-9	9.13206395820524364E-14
2.88220000000001297E-9	8.57064612862148145E-14
2.89220000000001320E-9	7.92898747551752869E-14
2.90220000000001388E-9	7.21314165239784177E-14
2.91220000000001367E-9	6.42518508583320713E-14
2.92220000000001434E-9	5.57898755088897058E-14
2.93220000000001368E-9	4.69803573643579409E-14
2.94220000000001480E-9	3.75905290979206086E-14
2.95220000000001459E-9	2.74516187659742172E-14
2.96220000000001349E-9	1.76673753363516783E-14
2.97220000000001505E-9	7.31120774620063063E-15
2.98220000000001439E-9	-3.20712584961713976E-15
2.99220000000001463E-9	-1.37936556259989507E-14
3.00220000000001486E-9	-2.45367597089470069E-14
3.01220000000001553E-9	-3.63333739977812487E-14
3.02220000000001576E-9	-4.83888740467573175E-14
3.03220000000001599E-9	-6.03535382733307380E-14
3.04220000000001622E-9	-7.26585822751274257E-14
3.05220000000001557E-9	-8.45959147943627876E-14
3.06220000000001535E-9	-9.66639404174312844E-14
3.07220000000001603E-9	-1.08780583308892864E-13
3.08220000000001715E-9	-1.21277397040596435E-13
3.09220000000001694E-9	-1.33222863334228525E-13
3.10220000000001717E-9	-1.44722630497305937E-13
3.11220000000001740E-9	-1.55254239503817049E-13
3.12220000000001718E-9	-1.65247262057777178E-13
3.13220000000001697E-9	-1.75202206159578555E-13
3.14220000000001765E-9	-1.84907443681332051E-13
3.15220000000001832E-9	-1.93955263081786144E-13
3.16220000000001811E-9	-2.02121969215075126E-13
3.17220000000001834E-9	-2.09915021372329846E-13
3.18220000000001857E-9	-2.16989815812613784E-13
3.19220000000001924E-9	-2.23397195798930026E-13
3.20220000000001725E-9	-2.28761057451832839E-13
3.21220000000001837E-9	-2.33439137393825913E-13
3.22220000000001905E-9	-2.37195350190892107E-13
3.23220000000001884E-9	-2.39655230587411916E-13
3.24220000000001995E-9	-2.41393022371970112E-13
3.25220000000001885E-9	-2.42021515392093889E-13
3.26220000000001997E-9	-2.41582370870826457E-13
3.27220000000001932E-9	-2.39757035676650254E-13
3.28220000000001955E-9	-2.37309651718264192E-13
3.29220000000002022E-9	-2.33497891627306986E-13
3.30220000000001956E-9	-2.28276517681250057E-13
3.31220000000002068E-9	-2.21848891934847314E-13
3.32220000000001958E-9	-2.14001013271946139E-13
3.33220000000002070E-9	-2.05032377206559824E-13
3.34220000000002049E-9	-1.94945586391863235E-13
3.35220000000002116E-9	-1.83442851809141638E-13
3.36220000000002139E-9	-1.71228357859072644E-13
3.37220000000002162E-9	-1.58260620984185207E-13
3.38220000000002186E-9	-1.44326319746891318E-13
3.39220000000002209E-9	-1.28614747587932055E-13
3.40220000000002232E-9	-1.12250974946670468E-13
3.41220000000002299E-9	-9.50552191542864477E-14
3.42220000000002234E-9	-7.68505393326267594E-14
3.43220000000002301E-9	-5.76142209258423765E-14
3.44220000000002280E-9	-3.75742863468324284E-14
3.45220000000002303E-9	-1.70902874044508302E-14
3.46220000000002370E-9	3.80102564862185410E-15
3.47220000000002260E-9	2.58018576746131378E-14
3.48220000000002283E-9	4.83112847283528435E-14
3.49220000000002440E-9	7.10962773265811698E-14
3.50220000000002329E-9	9.42753435533300710E-14
3.51220000000002353E-9	1.17418772623476886E-13
3.52220000000002420E-9	1.41005397293093404E-13
3.53220000000002443E-9	1.64188726999685564E-13
3.54220000000002377E-9	1.86681602377868017E-13
3.55220000000002489E-9	2.09518929926862940E-13
3.56220000000002601E-9	2.31932957697498709E-13
3.57220000000002491E-9	2.54056748131714594E-13
3.58220000000002470E-9	2.75314500363648751E-13
3.59220000000002537E-9	2.95660958596823065E-13
3.60220000000002472E-9	3.15940945491089709E-13
3.61220000000002539E-9	3.34945356830825602E-13
3.62220000000002518E-9	3.52982693800953840E-13
3.63220000000002541E-9	3.70304033309343028E-13
3.64220000000002564E-9	3.86283163444330890E-13
3.65220000000002631E-9	4.01160527676491352E-13
3.66220000000002655E-9	4.14405871420338645E-13
3.67220000000002678E-9	4.25913799471172005E-13
3.68220000000002701E-9	4.35896679897823525E-13
3.69220000000002635E-9	4.43989643044637994E-13
3.70220000000002702E-9	4.50276709937276109E-13
3.71220000000002726E-9	4.54654971679237896E-13
3.72220000000002749E-9	4.57387993932646086E-13
3.73220000000002727E-9	4.57805195841563517E-13
3.74220000000002795E-9	4.56312528811462315E-13
3.75220000000002729E-9	4.52312465842714850E-13
3.76220000000002663E-9	4.46444423330197893E-13
3.77220000000002553E-9	4.38400275016021279E-13
3.78220000000002665E-9	4.28263870296420635E-13
3.79220000000002599E-9	4.15656371617350562E-13
3.80220000000002667E-9	4.01175360661642255E-13
3.81220000000002468E-9	3.84723007546488871E-13
3.82220000000002491E-9	3.65772730972372706E-13
3.83220000000002425E-9	3.43856052996388417E-13
3.84220000000002582E-9	3.20125868455534812E-13
3.85220000000002516E-9	2.94173228571429579E-13
3.86220000000002450E-9	2.66077917536478115E-13
3.87220000000002340E-9	2.36045965482841869E-13
3.88220000000002319E-9	2.04195518667206999E-13
3.89220000000002342E-9	1.70795040839130108E-13
3.90220000000002232E-9	1.35345306440683077E-13
3.91220000000002388E-9	9.82669916744194616E-14
3.92220000000002234E-9	5.96056665214473291E-14
3.93220000000002168E-9	1.95537282679434110E-14
3.94220000000002235E-9	-2.13359742864334567E-14
3.95220000000002258E-9	-6.34329033499766659E-14
3.96220000000002148E-9	-1.06628425461183562E-13
3.97220000000002127E-9	-1.50116761201790538E-13
3.98220000000002017E-9	-1.93855387164361903E-13
3.99220000000002084E-9	-2.37908871074292305E-13
4.00220000000002152E-9	-2.81958806716893440E-13
4.01220000000002130E-9	-3.25991140875923957E-13
4.02220000000001932E-9	-3.70301524065912524E-13
4.03220000000001999E-9	-4.13982816458719327E-13
4.04220000000002067E-9	-4.56725454252279039E-13
4.05220000000002045E-9	-4.98753404383826204E-13
4.06220000000001935E-9	-5.39893500027917739E-13
4.07220000000001914E-9	-5.79582534241648162E-13
4.08220000000001892E-9	-6.17700150286443339E-13
4.09220000000001782E-9	-6.53837895121578683E-13
4.10220000000001761E-9	-6.87917636468059435E-13
4.11220000000001829E-9	-7.19957910912873889E-13
4.12220000000001896E-9	-7.49539183256714914E-13
4.13220000000001786E-9	-7.76810502669362535E-13
4.14220000000001676E-9	-8.01176511508239386E-13
4.15220000000001654E-9	-8.22455164569385744E-13
4.16220000000001811E-9	-8.40044942177236287E-13
4.17220000000001612E-9	-8.54507599584428057E-13
4.18220000000001679E-9	-8.65726631593625129E-13
4.19220000000001747E-9	-8.72844924527766430E-13
4.20220000000001637E-9	-8.76209122613673941E-13
4.21220000000001615E-9	-8.75869443979402185E-13
4.22220000000001505E-9	-8.71096960754220717E-13
4.23220000000001573E-9	-8.61622012793823622E-13
4.24220000000001551E-9	-8.47814675787434346E-13
4.25220000000001441E-9	-8.30005672912650994E-13
4.26220000000001509E-9	-8.07943573463452758E-13
4.27220000000001399E-9	-7.81948803395361569E-13
4.28220000000001466E-9	-7.51382679632631501E-13
4.29220000000001356E-9	-7.16107712298034382E-13
4.30220000000001246E-9	-6.76320157891619456E-13
4.31220000000001313E-9	-6.32607699071889940E-13
4.32220000000001381E-9	-5.84586097174407016E-13
4.33220000000001271E-9	-5.32647347735315879E-13
4.34220000000001249E-9	-4.76910089739520426E-13
4.35220000000001228E-9	-4.17272289954459641E-13
4.36220000000001118E-9	-3.53621090521326042E-13
4.37220000000001185E-9	-2.87048378526599857E-13
4.38220000000001075E-9	-2.16822111218007008E-13
4.39220000000001232E-9	-1.43744509356125505E-13
4.40220000000001033E-9	-6.80208057715712133E-14
4.41220000000001100E-9	1.03475585412057614E-14
4.42220000000001079E-9	9.05455228005226864E-14
4.43220000000000969E-9	1.72670935049424767E-13
4.44220000000001036E-9	2.56569165838805091E-13
4.45220000000001015E-9	3.41177746827570738E-13
4.46220000000000994E-9	4.26852254002511788E-13
4.47220000000000883E-9	5.12175601661384228E-13
4.48220000000000862E-9	5.98400724876266210E-13
4.49220000000000930E-9	6.84523780756110867E-13
4.50220000000000820E-9	7.69545119553264456E-13
4.51220000000000798E-9	8.53324139490502276E-13
4.52220000000000955E-9	9.35511926923901882E-13
4.53220000000000756E-9	1.01579070833490448E-12
4.54220000000000645E-9	1.09400023531054180E-12
4.55220000000000713E-9	1.16972284236231494E-12
4.56220000000000780E-9	1.24133981787190595E-12
4.57220000000000670E-9	1.30973448055167974E-12
4.58220000000000560E-9	1.37428550359789514E-12
4.59220000000000628E-9	1.43381269454529603E-12
4.60220000000000695E-9	1.48815722741990886E-12
4.61220000000000496E-9	1.53720651947776332E-12
4.62220000000000475E-9	1.58008793617922683E-12
4.63220000000000542E-9	1.61734811002526424E-12
4.64220000000000610E-9	1.64781871551804171E-12
4.65220000000000589E-9	1.67111930909406681E-12
4.66220000000000478E-9	1.68805339391943510E-12
4.67220000000000457E-9	1.69750656779224629E-12
4.68220000000000436E-9	1.69940188452143826E-12
4.69220000000000326E-9	1.69285097465181056E-12
4.70220000000000393E-9	1.67906562112352797E-12
4.71220000000000461E-9	1.65721459840289098E-12
4.72220000000000351E-9	1.62635854537468472E-12
4.73220000000000329E-9	1.58702675974223939E-12
4.74220000000000219E-9	1.53932371889451858E-12
4.75220000000000198E-9	1.48352435863255638E-12
4.76220000000000265E-9	1.41927620055469128E-12
4.77220000000000155E-9	1.34630970383609605E-12
4.78220000000000223E-9	1.26494587951457604E-12
4.79220000000000201E-9	1.17580872234807154E-12
4.80220000000000180E-9	1.07802342913136462E-12
4.81220000000000070E-9	9.73212446208186144E-13
4.82219999999999960E-9	8.60745816663715502E-13
4.83220000000000116E-9	7.40387827159970158E-13
4.84220000000000095E-9	6.13495566091016897E-13
4.85220000000000073E-9	4.80566226801742236E-13
4.86220000000000052E-9	3.41818625316526070E-13
4.87219999999999942E-9	1.97609532923097575E-13
4.88220000000000010E-9	4.83922084183200507E-14
4.89219999999999899E-9	-1.05228429435514981E-13
4.90219999999999878E-9	-2.63057837268977313E-13
4.91219999999999768E-9	-4.24054413601644331E-13
4.92219999999999835E-9	-5.87732321892647658E-13
4.93219999999999814E-9	-7.53619644113628340E-13
4.94219999999999970E-9	-9.20716262866168655E-13
4.95219999999999683E-9	-1.08834281363201568E-12
4.96219999999999928E-9	-1.25489503345054154E-12
