Pin_dBm	Armonico_1_dB(Vout)	Armonico_2_dB(Vout)	Armonico_3_dB(Vout)	Gain_mio_dB
-50	-51.451874	-130.364811	-185.061008	8.548126
-49	-50.451874	-128.364791	-182.061879	8.548126
-48	-49.451875	-126.364765	-179.060927	8.548125
-47	-48.451875	-124.364733	-176.060869	8.548125
-46	-47.451875	-122.364692	-173.060793	8.548125
-45	-46.451875	-120.364641	-170.060701	8.548125
-44	-45.451875	-118.364577	-167.060585	8.548125
-43	-44.451875	-116.364496	-164.060437	8.548125
-42	-43.451875	-114.364394	-161.060252	8.548125
-41	-42.451876	-112.364266	-158.060019	8.548124
-40	-41.451876	-110.364104	-155.059725	8.548124
-39	-40.451876	-108.363901	-152.059356	8.548124
-38	-39.451877	-106.363645	-149.058890	8.548123
-37	-38.451878	-104.363322	-146.058304	8.548122
-36	-37.451879	-102.362916	-143.057567	8.548121
-35	-36.451880	-100.362405	-140.056638	8.548120
-34	-35.451881	-98.361761	-137.055469	8.548119
-33	-34.451883	-96.360951	-134.053996	8.548117
-32	-33.451885	-94.359930	-131.052142	8.548115
-31	-32.451888	-92.358645	-128.049806	8.548112
-30	-31.451891	-90.357026	-125.046864	8.548109
-29	-30.451896	-88.354987	-122.043158	8.548104
-28	-29.451901	-86.352418	-119.038488	8.548099
-27	-28.451908	-84.349180	-116.032603	8.548092
-26	-27.451917	-82.345100	-113.025184	8.548083
-25	-26.451928	-80.339956	-110.015828	8.548072
-24	-25.451942	-78.333468	-107.004025	8.548058
-23	-24.451960	-76.325280	-103.989125	8.548040
-22	-23.451982	-74.314943	-100.970305	8.548018
-21	-22.452010	-72.301881	-97.946510	8.547990
-20	-21.452045	-70.285358	-94.916391	8.547955
-19	-20.452089	-68.264430	-91.878186	8.547911
-18	-19.452144	-66.237884	-88.829700	8.547856
-17	-18.452213	-64.204138	-85.767987	8.547787
-16	-17.452300	-62.161122	-82.689208	8.547700
-15	-16.452409	-60.106094	-79.588264	8.547591
-14	-15.452546	-58.035371	-76.458286	8.547454
-13	-14.452720	-55.943905	-73.289866	8.547280
-12	-13.452940	-53.824614	-70.069799	8.547060
-11	-12.453224	-51.667238	-66.779150	8.546776
-10	-11.453603	-49.456252	-63.389617	8.546397
-9	-10.454137	-47.166815	-59.857051	8.545863
-8	-9.454981	-44.756068	-56.108419	8.545019
-7	-8.456595	-42.141971	-52.012400	8.543405
-6	-7.460728	-39.142849	-47.304165	8.539272
-5	-6.477122	-35.265288	-41.356962	8.522878
-4	-5.596618	-29.349460	-33.178451	8.403382
-3	-5.068975	-24.193362	-26.899420	7.931025
-2	-4.703532	-21.270903	-23.735288	7.296468
-1	-4.384388	-19.229448	-21.501782	6.615612
0	-4.065369	-17.590030	-19.802289	5.934631
1	-3.775715	-16.403043	-18.892876	5.224285
2	-3.503519	-15.136029	-17.756442	4.496481
3	-3.264531	-13.981781	-16.838467	3.735469
4	-3.094372	-13.267469	-17.131600	2.905628
5	-2.930574	-12.477896	-16.993149	2.069426
6	-2.756226	-11.577960	-16.119659	1.243774
7	-2.557194	-10.767394	-15.605092	0.442806
8	-2.328298	-10.102499	-15.902058	-0.328298
9	-2.088238	-9.415759	-16.229621	-1.088238
10	-1.849542	-8.697688	-16.392929	-1.849542
11	-1.625758	-7.962846	-16.298134	-2.625758
12	-1.427749	-7.214991	-15.858468	-3.427749
13	-1.241675	-6.460628	-15.168207	-4.241675
14	-0.990516	-5.759642	-14.748888	-4.990516
15	-0.626407	-5.193355	-14.856496	-5.626407
16	-0.240194	-4.763619	-14.854940	-6.240194
17	0.122792	-4.553752	-14.366534	-6.877208
18	0.471266	-4.456069	-13.557547	-7.528734
19	0.778181	-4.431583	-12.556647	-8.221819
20	0.943476	-4.446774	-11.516751	-9.056524
