Mu1	MuPrime1	freq
1.21367757	1.01879095	100000000
1.24171474	1.02407017	110000000
1.26962141	1.03034416	120000000
1.29739862	1.03776344	130000000
1.32506498	1.04649391	140000000
1.35264314	1.05671577	150000000
1.38015216	1.06862239	160000000
1.40760395	1.08241871	170000000
1.43500221	1.09831953	180000000
1.46234292	1.11654734	190000000
1.48961548	1.13732995	200000000
1.51680416	1.16089798	210000000
1.54388957	1.18748216	220000000
1.57084996	1.21731072	230000000
1.59766236	1.25060683	240000000
1.62430345	1.2875862	250000000
1.65075028	1.32845486	260000000
1.67698071	1.37340687	270000000
1.70297382	1.42262195	280000000
1.72871001	1.47626239	290000000
1.7541712	1.53446886	300000000
1.7793407	1.59735412	310000000
1.80420324	1.66499342	320000000
1.82874476	1.73740966	330000000
1.85295225	1.81455058	340000000
1.87681355	1.89625347	350000000
1.90031707	1.98219075	360000000
1.92345149	2.07178581	370000000
1.9462055	2.16408304	380000000
1.96856741	2.25754913	390000000
1.9905248	2.3497792	400000000
2.01206412	2.43709876	410000000
2.03317024	2.51414452	420000000
2.05382593	2.57377704	430000000
2.07401137	2.60813767	440000000
2.09370348	2.61160498	450000000
2.11287524	2.58436811	460000000
2.13149494	2.53294353	470000000
2.14952522	2.46664867	480000000
2.16692214	2.39372851	490000000
2.18363398	2.31981566	500000000
2.1996	2.24817015	510000000
2.214749	2.18043047	520000000
2.22899779	2.11726433	530000000
2.24224964	2.05880106	540000000
2.25439266	2.00489004	550000000
2.26529849	1.95524742	560000000
2.27482134	1.90953683	570000000
2.28279792	1.86741256	580000000
2.28904871	1.82854164	590000000
2.29338129	1.79261424	600000000
2.29559648	1.75934758	610000000
2.29549788	1.72848656	620000000
2.29290528	1.69980255	630000000
2.28767133	1.67309138	640000000
2.27969995	1.64817103	650000000
2.26896353	1.62487928	660000000
2.25551534	1.60307153	670000000
2.23949357	1.58261872	680000000
2.22111531	1.56340551	690000000
2.20066107	1.54532866	700000000
2.17845298	1.52829558	710000000
2.15483102	1.51222307	720000000
2.13013134	1.49703624	730000000
2.1046694	1.48266752	740000000
2.07872885	1.46905584	750000000
2.05255595	1.45614586	760000000
2.02635818	1.4438874	770000000
2.00030585	1.4322348	780000000
1.97453551	1.42114647	790000000
1.9491541	1.41058448	800000000
1.92424335	1.4005141	810000000
1.89986391	1.39090357	820000000
1.87605915	1.38172372	830000000
1.85285841	1.37294776	840000000
1.8302798	1.36455102	850000000
1.80833249	1.35651078	860000000
1.78701868	1.34880603	870000000
1.76633511	1.34141737	880000000
1.74627434	1.33432683	890000000
1.72682575	1.32751776	900000000
1.7079764	1.32097469	910000000
1.68971161	1.31468324	920000000
1.67201555	1.30863003	930000000
1.65487158	1.3028026	940000000
1.63826263	1.29718932	950000000
1.6221714	1.29177932	960000000
1.60658059	1.28656245	970000000
1.59147304	1.28152921	980000000
1.57683182	1.27667068	990000000
1.56264038	1.27197853	1e+09
1.54888253	1.2674449	1.01e+09
1.53554257	1.26306243	1.02e+09
1.52260523	1.2588242	1.03e+09
1.51005579	1.25472368	1.04e+09
1.49787999	1.25075472	1.05e+09
1.48606412	1.24691153	1.06e+09
1.47459496	1.24318866	1.07e+09
1.46345981	1.23958092	1.08e+09
1.45264644	1.23608344	1.09e+09
1.44214313	1.23269161	1.1e+09
1.43193862	1.22940105	1.11e+09
1.4220221	1.22620762	1.12e+09
1.41238321	1.22310741	1.13e+09
1.40301201	1.22009669	1.14e+09
1.39389898	1.21717192	1.15e+09
