freq	magS21	angS21
100000000	2.54916652	-50.6364617
110000000	2.99253164	-58.1826258
120000000	3.44449536	-65.3483378
130000000	3.90040611	-72.200585
140000000	4.35583249	-78.7916351
150000000	4.80646089	-85.1620954
160000000	5.24804377	-91.3430097
170000000	5.67640036	-97.3573949
180000000	6.08746619	-103.221464
190000000	6.4773831	-108.945687
200000000	6.84261664	-114.535768
210000000	7.18008417	-119.9936
220000000	7.48727588	-125.318188
230000000	7.76235169	-130.506541
240000000	8.00420101	-135.554504
250000000	8.21245788	-140.457499
260000000	8.38747079	-145.211147
270000000	8.53023246	-149.811757
280000000	8.64227944	-154.256659
290000000	8.72557376	-158.544414
300000000	8.7823789	-162.67489
310000000	8.81514053	-166.649238
320000000	8.82637991	-170.469799
330000000	8.81860467	-174.13996
340000000	8.7942389	-177.663976
350000000	8.75557223	178.953205
360000000	8.70472619	175.706122
370000000	8.64363509	172.588963
380000000	8.57403867	169.595708
390000000	8.49748341	166.72025
400000000	8.41533019	163.956499
410000000	8.328766	161.298455
420000000	8.23881805	158.740275
430000000	8.14636898	156.276315
440000000	8.05217226	153.901163
450000000	7.9568671	151.609656
460000000	7.8609925	149.396895
470000000	7.76500018	147.258248
480000000	7.6692663	145.189345
490000000	7.57410192	143.186081
500000000	7.47976227	141.2446
510000000	7.38645489	139.361287
520000000	7.29434668	137.53276
530000000	7.20357009	135.755854
540000000	7.11422836	134.027609
550000000	7.02640014	132.345259
560000000	6.94014335	130.706218
570000000	6.85549852	129.108072
580000000	6.77249166	127.548559
590000000	6.69113668	126.025569
600000000	6.61143742	124.537125
610000000	6.53338946	123.081378
620000000	6.45698152	121.656595
630000000	6.38219679	120.261154
640000000	6.30901395	118.893533
650000000	6.23740806	117.552305
660000000	6.16735134	116.236129
670000000	6.09881379	114.943746
680000000	6.03176371	113.673971
690000000	5.96616819	112.425689
700000000	5.90199343	111.197852
710000000	5.83920509	109.98947
720000000	5.77776852	108.799609
730000000	5.71764899	107.627389
740000000	5.65881189	106.471978
750000000	5.60122282	105.332588
760000000	5.54484776	104.208476
770000000	5.48965312	103.098936
780000000	5.43560587	102.0033
790000000	5.38267352	100.920936
800000000	5.33082426	99.8512421
810000000	5.28002692	98.7936478
820000000	5.23025102	97.747611
830000000	5.18146682	96.7126161
840000000	5.13364524	95.6881727
850000000	5.08675799	94.673814
860000000	5.04077744	93.6690953
870000000	4.99567671	92.6735926
880000000	4.95142964	91.686902
890000000	4.90801074	90.7086378
900000000	4.86539524	89.7384321
910000000	4.82355902	88.7759335
920000000	4.78247864	87.8208062
930000000	4.7421313	86.8727294
940000000	4.70249484	85.9313965
950000000	4.6635477	84.996514
960000000	4.62526893	84.0678014
970000000	4.58763816	83.14499
980000000	4.55063559	82.2278228
990000000	4.51424196	81.3160538
1e+09	4.47843854	80.4094474
1.01e+09	4.44320714	79.5077778
1.02e+09	4.40853005	78.6108291
1.03e+09	4.37439005	77.7183943
1.04e+09	4.34077041	76.8302751
1.05e+09	4.30765483	75.9462818
1.06e+09	4.27502748	75.0662325
1.07e+09	4.24287293	74.1899533
1.08e+09	4.21117621	73.3172774
1.09e+09	4.17992271	72.4480455
1.1e+09	4.14909826	71.582105
1.11e+09	4.11868903	70.71931
1.12e+09	4.08868158	69.8595209
1.13e+09	4.05906284	69.0026046
1.14e+09	4.02982008	68.1484336
1.15e+09	4.00094091	67.2968867
1.16e+09	3.97241327	66.4478479
1.17e+09	3.94422545	65.6012069
1.18e+09	3.91636602	64.7568587
1.19e+09	3.88882388	63.9147033
1.2e+09	3.86158822	63.074646
