Pin	fundamental	Ar2	Ar3
-50	-47.727482923892033	-123.33886513235186	-188.51403649164689
-49	-46.727485596681277	-121.33883213981855	-185.51401745709342
-48	-45.72748897967508	-119.33879057284233	-182.51400532672938
-47	-44.727493222099469	-117.33873830580919	-179.51398493923097
-46	-43.727498557747722	-115.33867250646823	-176.51396058348718
-45	-42.727505285923975	-113.33858959604022	-173.5139300436033
-44	-41.727513756613213	-111.33848525417436	-170.51389120466047
-43	-40.727524423433444	-109.33835391757169	-167.51384257741347
-42	-39.72753788843972	-107.33818855262798	-164.51378186947832
-41	-38.727554772746281	-105.3379803548811	-161.5137050071761
-40	-37.727576025168716	-103.33771822878072	-158.51360804850339
-39	-36.727602837519285	-101.33738824161634	-155.51348609665399
-38	-35.72763654270841	-99.336972779367017	-152.51333253026098
-37	-34.727679036591127	-97.336449712427523	-149.51313917482275
-36	-33.727732499485775	-95.335791120731201	-146.51289582082458
-35	-32.727799809501398	-93.334961953037094	-143.51258926072103
-34	-31.727884574593958	-91.333917938496285	-140.51220322844344
-33	-30.727991313048491	-89.332603364600374	-137.51171708296886
-32	-29.72812570749511	-87.330948055124168	-134.5111048184753
-31	-28.728294984516765	-85.328863562095222	-131.51033354500626
-30	-27.728508161474387	-83.326238412691396	-128.50936186989907
-29	-26.728776671106658	-81.32293208047642	-125.50813745751405
-28	-25.72911494234728	-79.318767316461873	-122.50659421819458
-27	-24.729541132544067	-77.313520525252628	-119.50464847720886
-26	-23.730078240194178	-75.306909365980943	-116.5021942411696
-25	-22.730755307299329	-73.298577146508435	-113.49909707612773
-24	-21.73160908659198	-71.288072651741984	-110.49518569686911
-23	-20.732686167808602	-69.274824798378717	-107.49024167031834
-22	-19.734045691104217	-67.258109251701981	-104.48398479820781
-21	-18.735762914273757	-65.237005896991604	-101.47605382629465
-20	-17.73793386258664	-63.210337787254701	-98.465989422999698
-19	-16.740681353126782	-61.176616459316399	-95.45315642244023
-18	-15.744163565115093	-59.133918256278726	-92.436740359041465
-17	-14.748584761245665	-57.079768864404031	-89.415622247768894
-16	-13.754211114110904	-55.010959029261457	-86.388239916695696
-15	-12.761392403770575	-52.923292299507636	-83.352336843243307
-14	-11.7705935877804	-50.811222888543249	-80.304512859663845
-13	-10.782442341453988	-48.667318110951818	-77.239380951564073
-12	-9.7978022679368468	-46.481453134048564	-74.147909608188698
-11	-8.8178935617978542	-44.239493351326502	-71.014056750906349
-10	-7.8445011879738979	-41.921123942788569	-67.807684241724189
-9	-6.8803651607833576	-39.495985219769615	-64.469499687035594
-8	-5.9299821003770781	-36.916482294969796	-60.880288561864937
-7	-5.0014560248880899	-34.103684137735407	-56.80726782718294
-6	-4.111311362926326	-30.921648494604497	-51.857819411436964
-5	-3.2969757487548024	-27.168827666411708	-45.634958052201469
-4	-2.6223391690599906	-22.922788722984542	-38.651033798565443
-3	-2.076209033379	-19.156610055700007	-32.726240872681529
-2	-1.5625627506305428	-16.280979984243338	-28.410829695694066
-1	-1.048906148445075	-14.255964437351654	-25.430760945797182
0	-0.6146260910472211	-12.875521702166663	-23.167771186504563
1	-0.35543818727252563	-11.73191820428138	-21.57387395191612
2	-0.16444087281083397	-10.673696090197563	-21.46401566847711
3	0.012233029736076087	-9.6257951302606983	-20.851807116875804
4	0.20646034420691586	-8.5114882304070179	-19.605153501900407
5	0.48838496926893299	-7.3724383244961817	-19.530746854049351
6	0.84627630844434165	-6.3060583613917611	-20.806795119724736
7	1.1911321157200023	-5.3465192983566432	-22.394073660879528
8	1.4302816590577145	-4.7077254521577352	-23.368164959037088
9	1.5200560972563104	-4.3208143312487231	-22.554231947323906
10	1.6973472772399743	-4.1406229378052322	-21.222848855188026
11	2.0056638216780676	-4.1477907206097191	-19.943865557665912
12	2.3382564432693886	-4.2189777182236146	-18.42189595564485
13	2.6600795670626889	-4.3613208302942175	-16.77234782538466
14	2.9198807404000209	-4.5675015183737377	-15.119874811369048
15	3.0165376113903033	-4.6663923739894022	-13.726929464990473
16	3.2886835818775522	-3.8549747999810413	-13.549592032464746
17	3.5411666136768143	-3.115950969091962	-12.853370486995622
18	3.4445300767702558	-3.9881089173060609	-9.0419774480594732
19	3.7804559958499331	-3.6266834172102818	-8.1680724031016396
20	4.1837965602165648	-2.9933980463202574	-7.6404922006332807
