nf[1]	nf[2]	NFmin	freq
41.1743773	4.58980859	0.891644026	100000000
39.8625073	4.10030013	0.892273766	110000000
38.6942786	3.69986621	0.892953303	120000000
37.6437596	3.36885197	0.893680064	130000000
36.6908389	3.09268695	0.894451455	140000000
35.8196878	2.86038004	0.895264888	150000000
35.0176936	2.66351747	0.896117797	160000000
34.2746981	2.49557595	0.897007663	170000000
33.5824424	2.35144074	0.89793203	180000000
32.9341554	2.22706069	0.898888521	190000000
32.3242426	2.11919735	0.899874857	200000000
31.7480498	2.02523989	0.900888863	210000000
31.2016793	1.94306683	0.901928481	220000000
30.6818478	1.87094162	0.902991777	230000000
30.1857736	1.80743298	0.904076941	240000000
29.7110874	1.75135362	0.905182295	250000000
29.2557612	1.70171259	0.906306291	260000000
28.8180506	1.65767808	0.90744751	270000000
28.3964482	1.61854802	0.908604657	280000000
27.989646	1.58372676	0.909776562	290000000
27.5965036	1.5527065	0.910962171	300000000
27.2160231	1.52505224	0.912160543	310000000
26.8473272	1.50038971	0.913370843	320000000
26.4896419	1.47839554	0.914592337	330000000
26.1422817	1.45878911	0.915824382	340000000
25.8046368	1.44132605	0.917066423	350000000
25.4761629	1.42579266	0.918317985	360000000
25.1563722	1.41200144	0.919578664	370000000
24.844826	1.39978728	0.920848126	380000000
24.5411282	1.38900431	0.922126095	390000000
24.24492	1.3795232	0.92341235	400000000
23.955875	1.37122897	0.924706719	410000000
23.6736952	1.36401905	0.926009074	420000000
23.398108	1.35780167	0.927319326	430000000
23.1288627	1.35249449	0.928637419	440000000
22.865728	1.34802343	0.929963327	450000000
22.6084901	1.34432162	0.93129705	460000000
22.3569505	1.34132858	0.932638612	470000000
22.1109245	1.33898943	0.933988052	480000000
21.8702395	1.33725424	0.935345428	490000000
21.6347338	1.3360775	0.93671081	500000000
21.4042557	1.3354176	0.938084279	510000000
21.1786623	1.33523639	0.939465925	520000000
20.9578186	1.33549882	0.940855844	530000000
20.7415968	1.33617263	0.942254136	540000000
20.5298759	1.33722803	0.943660907	550000000
20.3225406	1.33863745	0.945076261	560000000
20.1194811	1.34037534	0.946500305	570000000
19.9205927	1.34241794	0.947933147	580000000
19.725775	1.34474312	0.94937489	590000000
19.534932	1.34733023	0.950825638	600000000
19.3479716	1.35015996	0.952285491	610000000
19.164805	1.35321419	0.953754545	620000000
18.9853469	1.35647593	0.955232894	630000000
18.8095151	1.35992916	0.956720627	640000000
18.63723	1.36355881	0.958217826	650000000
18.468415	1.36735063	0.959724572	660000000
18.3029956	1.37129113	0.961240939	670000000
18.1409	1.37536753	0.962766995	680000000
17.9820584	1.37956771	0.964302804	690000000
17.826403	1.38388013	0.965848424	700000000
17.6738681	1.3882938	0.967403907	710000000
17.5243896	1.39279824	0.968969301	720000000
17.3779055	1.39738344	0.970544648	730000000
17.234355	1.40203982	0.972129983	740000000
17.0936793	1.40675823	0.973725336	750000000
16.9558209	1.41152985	0.975330735	760000000
16.8207235	1.41634627	0.976946198	770000000
16.6883326	1.42119935	0.978571742	780000000
16.5585947	1.42608131	0.980207375	790000000
16.4314576	1.43098461	0.981853104	800000000
16.3068705	1.43590203	0.983508928	810000000
16.1847834	1.44082656	0.985174843	820000000
16.0651477	1.44575147	0.986850841	830000000
15.9479158	1.45067024	0.988536908	840000000
15.8330411	1.45557656	0.990233028	850000000
15.7204779	1.46046434	0.991939178	860000000
15.6101818	1.46532767	0.993655332	870000000
15.5021089	1.47016085	0.995381463	880000000
15.3962166	1.47495833	0.997117536	890000000
15.292463	1.47971475	0.998863515	900000000
15.190807	1.48442491	1.00061936	910000000
15.0912084	1.48908377	1.00238503	920000000
14.9936279	1.49368644	1.00416048	930000000
14.8980269	1.49822815	1.00594565	940000000
14.8043675	1.50270433	1.0077405	950000000
14.7126127	1.50711049	1.00954496	960000000
14.6227262	1.5114423	1.011359	970000000
14.5346724	1.51569557	1.01318253	980000000
14.4484162	1.51986621	1.0150155	990000000
14.3639236	1.52395027	1.01685785	1e+09
14.281161	1.52794391	1.0187095	1.01e+09
14.2000953	1.53184343	1.0205704	1.02e+09
14.1206945	1.53564522	1.02244046	1.03e+09
14.0429267	1.5393458	1.02431962	1.04e+09
13.966761	1.54294181	1.02620779	1.05e+09
13.892167	1.54642997	1.02810492	1.06e+09
13.8191148	1.54980713	1.0300109	1.07e+09
13.7475751	1.55307027	1.03192568	1.08e+09
13.6775192	1.55621643	1.03384915	1.09e+09
13.6089191	1.55924279	1.03578126	1.1e+09
13.541747	1.56214664	1.0377219	1.11e+09
13.4759759	1.56492535	1.039671	1.12e+09
13.4115792	1.5675764	1.04162847	1.13e+09
