freq_Hz	dB(S11)	dB(S12)	dB(S21)	dB(S22)	mu	muprima	nf(2)	nfmin
100000000	-0.005140	-71.363890	-6.481346	-7.685613	1.635735	1.000387	18.628178	0.892895
110000000	-0.007071	-69.192039	-5.227382	-8.290770	1.665655	1.000522	17.442549	0.893813
120000000	-0.009426	-67.253029	-4.140711	-8.842840	1.691582	1.000685	16.397095	0.894816
130000000	-0.012247	-65.502500	-3.188042	-9.347346	1.714628	1.000879	15.465654	0.895903
140000000	-0.015577	-63.907033	-2.344458	-9.809355	1.735601	1.001107	14.628303	0.897074
150000000	-0.019460	-62.440951	-1.590926	-10.233433	1.755073	1.001373	13.869611	0.898329
160000000	-0.023942	-61.084180	-0.912649	-10.623658	1.773432	1.001679	13.177455	0.899665
170000000	-0.029066	-59.820787	-0.297935	-10.983653	1.790939	1.002029	12.542183	0.901083
180000000	-0.034882	-58.637948	0.262584	-11.316636	1.807762	1.002427	11.956022	0.902581
190000000	-0.041435	-57.525218	0.776516	-11.625459	1.824005	1.002877	11.412639	0.904158
200000000	-0.048774	-56.473990	1.250108	-11.912656	1.839732	1.003383	10.906826	0.905814
210000000	-0.056950	-55.477099	1.688548	-12.180478	1.854975	1.003947	10.434257	0.907547
220000000	-0.066012	-54.528526	2.096187	-12.430927	1.869753	1.004575	9.991309	0.909357
230000000	-0.076012	-53.623172	2.476704	-12.665790	1.884072	1.005270	9.574925	0.911241
240000000	-0.087005	-52.756678	2.833234	-12.886661	1.897933	1.006036	9.182503	0.913200
250000000	-0.099045	-51.925296	3.168473	-13.094963	1.911336	1.006877	8.811813	0.915231
260000000	-0.112192	-51.125778	3.484747	-13.291974	1.924280	1.007798	8.460936	0.917335
270000000	-0.126504	-50.355296	3.784082	-13.478837	1.936764	1.008804	8.128203	0.919508
280000000	-0.142045	-49.611369	4.068245	-13.656578	1.948790	1.009898	7.812162	0.921751
290000000	-0.158882	-48.891811	4.338791	-13.826121	1.960360	1.011086	7.511536	0.924061
300000000	-0.177086	-48.194689	4.597087	-13.988293	1.971480	1.012373	7.225201	0.926438
310000000	-0.196730	-47.518283	4.844345	-14.143841	1.982155	1.013764	6.952163	0.928881
320000000	-0.217894	-46.861058	5.081639	-14.293435	1.992394	1.015266	6.691533	0.931387
330000000	-0.240662	-46.221640	5.309926	-14.437676	2.002207	1.016884	6.442522	0.933956
340000000	-0.265123	-45.598793	5.530057	-14.577104	2.011602	1.018624	6.204419	0.936586
350000000	-0.291375	-44.991406	5.742794	-14.712200	2.020593	1.020495	5.976583	0.939275
360000000	-0.319519	-44.398473	5.948818	-14.843392	2.029191	1.022503	5.758438	0.942024
370000000	-0.349666	-43.819085	6.148736	-14.971059	2.037408	1.024657	5.549458	0.944829
380000000	-0.381933	-43.252417	6.343093	-15.095531	2.045258	1.026965	5.349166	0.947690
390000000	-0.416448	-42.697722	6.532377	-15.217091	2.052753	1.029437	5.157127	0.950605
400000000	-0.453345	-42.154321	6.717023	-15.335979	2.059906	1.032082	4.972940	0.953573
410000000	-0.492772	-41.621595	6.897417	-15.452391	2.066730	1.034912	4.796238	0.956592
420000000	-0.534885	-41.098984	7.073904	-15.566476	2.073238	1.037939	4.626683	0.959662
430000000	-0.579852	-40.585979	7.246790	-15.678339	2.079443	1.041175	4.463963	0.962780
440000000	-0.627856	-40.082118	7.416343	-15.788040	2.085357	1.044634	4.307787	0.965946
450000000	-0.679092	-39.586984	7.582797	-15.895588	2.090992	1.048331	4.157885	0.969157
460000000	-0.733770	-39.100199	7.746355	-16.000942	2.096360	1.052283	4.014006	0.972413
470000000	-0.792116	-38.621425	7.907190	-16.104009	2.101471	1.056506	3.875915	0.975712
480000000	-0.854373	-38.150358	8.065448	-16.204638	2.106336	1.061021	3.743392	0.979053
490000000	-0.920802	-37.686731	8.221246	-16.302619	2.110967	1.065848	3.616229	0.982435
500000000	-0.991687	-37.230305	8.374678	-16.397678	2.115373	1.071009	3.494231	0.985855
510000000	-1.067330	-36.780874	8.525813	-16.489475	2.119563	1.076530	3.377214	0.989314
520000000	-1.148057	-36.338261	8.674695	-16.577601	2.123547	1.082437	3.265003	0.992809
530000000	-1.234221	-35.902317	8.821349	-16.661576	2.127333	1.088759	3.157433	0.996340
540000000	-1.326199	-35.472919	8.965773	-16.740845	2.130930	1.095529	3.054345	0.999904
550000000	-1.424398	-35.049972	9.107949	-16.814782	2.134346	1.102780	2.955589	1.003502
560000000	-1.529258	-34.633407	9.247834	-16.882692	2.137588	1.110551	2.861023	1.007131
570000000	-1.641249	-34.223175	9.385366	-16.943813	2.140664	1.118884	2.770508	1.010790
580000000	-1.760881	-33.819257	9.520464	-16.997327	2.143580	1.127824	2.683912	1.014479
590000000	-1.888701	-33.421653	9.653028	-17.042371	2.146344	1.137420	2.601108	1.018196
600000000	-2.025299	-33.030387	9.782936	-17.078051	2.148960	1.147726	2.521976	1.021939
610000000	-2.171310	-32.645503	9.910053	-17.103464	2.151436	1.158803	2.446396	1.025709
620000000	-2.327420	-32.267068	10.034222	-17.117719	2.153776	1.170715	2.374255	1.029503
630000000	-2.494369	-31.895166	10.155274	-17.119967	2.155987	1.183535	2.305443	1.033321
640000000	-2.672956	-31.529902	10.273020	-17.109428	2.158072	1.197341	2.239854	1.037161
650000000	-2.864044	-31.171395	10.387260	-17.085425	2.160038	1.212220	2.177385	1.041023
660000000	-3.068571	-30.819783	10.497781	-17.047414	2.161888	1.228267	2.117935	1.044906
670000000	-3.287550	-30.475215	10.604357	-16.995013	2.163626	1.245589	2.061408	1.048808
680000000	-3.522086	-30.137853	10.706755	-16.928024	2.165258	1.264301	2.007709	1.052728
690000000	-3.773382	-29.807869	10.804732	-16.846456	2.166786	1.284532	1.956746	1.056667
700000000	-4.042754	-29.485442	10.898042	-16.750532	2.168215	1.306424	1.908429	1.060622
710000000	-4.331647	-29.170755	10.986436	-16.640689	2.169547	1.330137	1.862672	1.064593
720000000	-4.641656	-28.863995	11.069664	-16.517578	2.170787	1.355845	1.819389	1.068579
730000000	-4.974550	-28.565346	11.147480	-16.382037	2.171938	1.383744	1.778498	1.072579
740000000	-5.332301	-28.274988	11.219645	-16.235078	2.173001	1.414052	1.739919	1.076593
750000000	-5.717129	-27.993094	11.285929	-16.077851	2.173981	1.447012	1.703572	1.080619
760000000	-6.131547	-27.719826	11.346112	-15.911611	2.174880	1.482897	1.669382	1.084657
770000000	-6.578429	-27.455333	11.399994	-15.737686	2.175700	1.522012	1.637273	1.088706
780000000	-7.061095	-27.199744	11.447391	-15.557442	2.176443	1.564702	1.607174	1.092765
790000000	-7.583421	-26.953170	11.488142	-15.372248	2.177113	1.611353	1.579012	1.096834
800000000	-8.149990	-26.715699	11.522110	-15.183448	2.177712	1.662400	1.552719	1.100911
810000000	-8.766291	-26.487391	11.549186	-14.992336	2.178240	1.718337	1.528228	1.104997
820000000	-9.439000	-26.268282	11.569289	-14.800134	2.178701	1.779719	1.505473	1.109091
